code,method_seq,lang_code,is_active,cr_by,cr_dtimes
PWD,1,eng,TRUE,superadmin,now()
OTP,2,eng,TRUE,superadmin,now()
FINGERPRINT,3,eng,TRUE,superadmin,now()
IRIS,4,eng,TRUE,superadmin,now()
FACE,5,eng,TRUE,superadmin,now()
PWD,1,fra,TRUE,superadmin,now()
OTP,2,fra,TRUE,superadmin,now()
FINGERPRINT,3,fra,TRUE,superadmin,now()
IRIS,4,fra,TRUE,superadmin,now()
FACE,5,fra,TRUE,superadmin,now()
PWD,1,ara,TRUE,superadmin,now()
OTP,2,ara,TRUE,superadmin,now()
FINGERPRINT,3,ara,TRUE,superadmin,now()
IRIS,4,ara,TRUE,superadmin,now()
FACE,5,ara,TRUE,superadmin,now()
