code,name,DESCR,BMTYP_CODE,lang_code,is_active,cr_by,cr_dtimes
TM,Thumbs,Print of Left and Right Thumbs,FNR,eng,TRUE,superadmin,now()
RH,Right Slab,Print of Right Slab,FNR,eng,TRUE,superadmin,now()
LH,Left Slab,Print of Left Slab,FNR,eng,TRUE,superadmin,now()
LI,Left Iris,Print of Left Iris,IRS,eng,TRUE,superadmin,now()
RI,Right Iris,Print of Right Iris,IRS,eng,TRUE,superadmin,now()
TM,الابهام,طباعة الإبهام الأيسر والأيمن,FNR,ara,TRUE,superadmin,now()
RH,لوح الحق,طباعة من اليمين لوح,FNR,ara,TRUE,superadmin,now()
LH,لوح اليسار,طباعة بلاطة اليسار,FNR,ara,TRUE,superadmin,now()
LI,غادر القزحية,طباعة القزحية اليسرى,IRS,ara,TRUE,superadmin,now()
RI,الحق ايريس,طباعة القزحية اليمنى,IRS,ara,TRUE,superadmin,now()
TM,Les pouces,Empreinte des pouces gauche et droit,FNR,fra,TRUE,superadmin,now()
RH,Dalle droite,Impression de la dalle droite,FNR,fra,TRUE,superadmin,now()
LH,Dalle gauche,Impression de la dalle gauche,FNR,fra,TRUE,superadmin,now()
LI,Iris gauche,Gravure de Iris Gauche,IRS,fra,TRUE,superadmin,now()
RI,Iris droit,Empreinte de l'iris droit,IRS,fra,TRUE,superadmin,now()
