code,name,descr,lang_code,is_active,cr_by,cr_dtimes
FRS,Finger Print Scanner,For scanning fingerprints,eng,TRUE,superadmin,now()
FRS,ماسح بصمة الأصبع,لمسح بصمات الأصابع,ara,TRUE,superadmin,now()
FRS,Scanner dempreintes digitales,Scannez les empreintes digitales,fra,TRUE,superadmin,now()
IRS,Iris Scanner,For scanning Iris,eng,TRUE,superadmin,now()
IRS,ايريس الماسح الضوئي,لمسح القزحية,ara,TRUE,superadmin,now()
IRS,Scanner dIris,Pour scanner liris,fra,TRUE,superadmin,now()
CMR,Camera,For capturing photo,eng,TRUE,superadmin,now()
CMR,الة تصوير,لالتقاط الصور,ara,TRUE,superadmin,now()
CMR,Caméra,Pour capturer une photo,fra,TRUE,superadmin,now()
SCN,Document Scanner,For scanning documents,eng,TRUE,superadmin,now()
SCN,وثيقة الماسح الضوئي,لمسح المستندات ضوئيًا,ara,TRUE,superadmin,now()
SCN,Scanner de documents,Pour numériser des documents,fra,TRUE,superadmin,now()
PRT,Printer,For printing Documents,eng,TRUE,superadmin,now()
PRT,طابعة,لطباعة الوثائق,ara,TRUE,superadmin,now()
PRT,Imprimante,Pour imprimer des documents,fra,TRUE,superadmin,now()
