code,name,descr,lang_code,is_active,cr_by,cr_dtimes
UIN,Unique Identification Number,National ID given to the applicant,eng,TRUE,superadmin,now()
PRID,Pre-registration ID,ID assigned after Pre-registration,eng,TRUE,superadmin,now()
RID,Registration ID,ID assigned after registration,eng,TRUE,superadmin,now()
VID,Virtual ID,ID used in replacement of UIN,eng,TRUE,superadmin,now()
Token ID,Token ID,ID used by a vendor for an applicant,eng,TRUE,superadmin,now()
UIN,رقم تعريف فريد,الهوية الوطنية المقدمة لمقدم الطلب,ara,TRUE,superadmin,now()
PRID,رقم التسجيل المسبق,الرقم التعريفي بعد التسجيل المسبق,ara,TRUE,superadmin,now()
RID,معرف تسجيل,الرقم التعريفي بعد التسجيل,ara,TRUE,superadmin,now()
VID,معرف الظاهري,معرف يستخدم في استبدال الهوية الوطنية,ara,TRUE,superadmin,now()
Token ID,معرف الرمز المميز,معرف يستخدمه أحد البائعين لمقدم الطلب,ara,TRUE,superadmin,now()
UIN,Numéro didentification unique,Carte didentité nationale fournie au demandeur,fra,TRUE,superadmin,now()
PRID,ID de pré-inscription,ID attribué après la pré-inscription,fra,TRUE,superadmin,now()
RID,ID denregistrement,ID attribué après lenregistrement,fra,TRUE,superadmin,now()
VID,ID virtuel,Identifiant utilisé en remplacement de UIN,fra,TRUE,superadmin,now()
Token ID,ID de jeton,ID utilisé par un fournisseur pour un demandeur,fra,TRUE,superadmin,now()
