code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
CON,MyCountry,0,Country,,eng,TRUE,superadmin,now()
CON,بلدي,0,بلد,,ara,TRUE,superadmin,now()
CON,MonPays,0,Pays,,fra,TRUE,superadmin,now()
RG1,North,1,Region,CON,eng,TRUE,superadmin(),now()
RG1,شمال,1,منطقة,CON,ara,TRUE,superadmin(),now()
RG1,Nord,1,Région,CON,fra,TRUE,superadmin(),now()
PR1,Province A,2,Province,RG1,eng,TRUE,superadmin,now()
PR1,الدولة أ,2,دولة,RG1,ara,TRUE,superadmin,now()
PR1,état A,2,l' État,RG1,fra,TRUE,superadmin,now()
CT1,City A,3,City,PR1,eng,TRUE,superadmin,now()
CT1,المدينة,3,مدينة,PR1,ara,TRUE,superadmin,now()
CT1,Ville A,3,Ville,PR1,fra,TRUE,superadmin,now()
PC1,14022,4,Postal Code,CT1,eng,TRUE,superadmin,now()
PC1,14022,4,الرمز البريدي,CT1,ara,TRUE,superadmin,now()
PC1,14022,4,code postal,CT1,fra,TRUE,superadmin,now()
