id,name,descr,lang_code,is_active,cr_by,cr_dtimes
login_auth,Login authentication,Login authentication,eng,TRUE,superadmin,now()
eod_auth,Eod authentication,Eod authentication,eng,TRUE,superadmin,now()
packet_auth,Packet authentication,Packet authentication,eng,TRUE,superadmin,now()
exception_auth,Exception authentication,Exception authentication,eng,TRUE,superadmin,now()
onboard_auth,Onboard authentication,Onboard authentication,eng,TRUE,superadmin,now()
login_auth,مصادقة تسجيل الدخول,مصادقة تسجيل الدخول,ara,TRUE,superadmin,now()
eod_auth,التخلص من الذخائر المتفجرة المصادقة,التخلص من الذخائر المتفجرة المصادقة,ara,TRUE,superadmin,now()
packet_auth,حزمة المصادقة,حزمة المصادقة,ara,TRUE,superadmin,now()
exception_auth,استثناء المصادقة,استثناء المصادقة,ara,TRUE,superadmin,now()
onboard_auth,مصادقة على متن الطائرة,مصادقة على متن الطائرة,ara,TRUE,superadmin,now()
login_auth,Authentification de connexion,Authentification de connexion,fra,TRUE,superadmin,now()
eod_auth,Authentification de nem,Authentification de nem,fra,TRUE,superadmin,now()
packet_auth,Authentification de paquet,Authentification de paquet,fra,TRUE,superadmin,now()
exception_auth,Authentification d’exception,Authentification d’exception,fra,TRUE,superadmin,now()
onboard_auth,Authentification intégrée,Authentification intégrée,fra,TRUE,superadmin,now()
