id,name,descr,file_format_code,model,file_txt,module_id,module_name,template_typ_code,lang_code,is_active,cr_by,cr_dtimes
1101,Template for authorization content,Template for authorization content,txt,,"Dear $name
Your Authentication of UIN $uin using $authType on $date at $time Hrs $status at a device deployed by MOSIP Services",10004,ID Authentication,auth-email-content,eng,TRUE,superadmin,now()
1102,Template for authorization subject,Template for authorization subject,txt,,UIN $uin Authentication $status,10004,ID Authentication,auth-email-subject,eng,TRUE,superadmin,now()
1103,Template for authorization SMS,Template for authorization SMS,txt,,Your Authentication of UIN $uin using $authType on $date at $time Hrs $status at a device deployed by MOSIP Services.,10004,ID Authentication,auth-sms,eng,TRUE,superadmin,now()
1101,قالب لمحتوى التخويل,قالب لمحتوى التخويل,txt,,"عزيزي $name ،
تقوم مصادقة UIN باستخدام $authType بتعيينها على $time Hours $status على جهاز تم نشره بواسطة ""خدمات MOSIP"".",10004,مصادقة الهوية,auth-email-content,ara,TRUE,superadmin,now()
1102,قالب لموضوع التخويل,قالب لموضوع التخويل,txt,,UIN $uin: مصادقة $status,10004,مصادقة الهوية,auth-email-subject,ara,TRUE,superadmin,now()
1103,قالب لرسالة التفويض,قالب لرسالة التفويض,txt,,"مصادقة UIN باستخدام $authType هي $date إلى $time hours $status على جهاز تم نشره بواسطة ""خدمات MOSIP"".",10004,مصادقة الهوية,auth-sms,ara,TRUE,superadmin,now()
1101,Modèle de contenu dautorisation,Modèle de contenu dautorisation,txt,,"Cher $name,
Votre authentification UIN $uin utilisant $authType le $date à $time Hrs $status sur un périphérique déployé par ""MOSIP Services""",10004,Authentification ID,auth-email-content,fra,TRUE,superadmin,now()
1102,Modèle pour sujet dautorisation,Modèle pour sujet dautorisation,txt,,UIN $uin: $status dauthentification,10004,Authentification ID,auth-email-subject,fra,TRUE,superadmin,now()
1103,Modèle de SMS dautorisation,Modèle de SMS dautorisation,txt,,"Votre authentification UIN $uin utilisant $authType le $date à $time Hrs $status sur un périphérique déployé par ""MOSIP Services"".",10004,Authentification ID,auth-sms,fra,TRUE,superadmin,now()
1107,Template for duplicate UIN Email,Template for duplicate UIN Email,txt,,"Dear $!name_eng,

Your request for UIN for Registration ID: $!RID has failed because a duplicate UIN has been found against your details. Please visit your nearest Registration office or visit https://mosip.io/grievances

Thank You",10003,Registration Processor,RPR_DUP_UIN_EMAIL,eng,TRUE,superadmin,now()
1108,Template for duplicate UIN SMS,Template for duplicate UIN SMS,txt,,"Dear $!name_eng,

Your request for UIN for Registration ID: $!RID has failed because a duplicate UIN has been found against your details. Please visit your nearest Registration office or visit https://mosip.io/grievances",10003,Registration Processor,RPR_DUP_UIN_SMS,eng,TRUE,superadmin,now()
1109,Template for Technical Issue Email,Template for Technical Issue Email,txt,,"Dear $!name_eng,

Your request for UIN for Registration $!RID has failed because of a technical issue. Please visit your nearest Registration office or visit https://mosip.io/grievances

Thank You",10003,Registration Processor,RPR_TEC_ISSUE_EMAIL,eng,TRUE,superadmin,now()
1110,Template for Technical Issue SMS,Template for Technical Issue SMS,txt,,"Dear $!name_eng,

Your request for UIN for Registration $!RID has failed because of a technical issue. Please visit your nearest Registration office or visit https://mosip.io/grievances",10003,Registration Processor,RPR_TEC_ISSUE_SMS,eng,TRUE,superadmin,now()
1111,Template for UIN generation Email,Template for UIN generation Email,txt,,"Dear $name_eng,

Your UIN for Registration ID: $!RID has been successfully generated and will reach soon at your postal address.

Thank You",10003,Registration Processor,RPR_UIN_GEN_EMAIL,eng,TRUE,superadmin,now()
1112,Template for UIN generation SMS,Template for UIN generation SMS,txt,,"Dear $name_eng,

Your UIN for Registration ID: $!RID has been successfully generated and will reach soon at your postal address.",10003,Registration Processor,RPR_UIN_GEN_SMS,eng,TRUE,superadmin,now()
1113,Template for update details Email,Template for update details Email,txt,,"Dear $!name_eng,

Your UIN details for the Registration ID: $!RID have been updated and a physical copy of your UIN card will reach you soon at your postal address.

Thank You",10003,Registration Processor,RPR_UIN_UPD_EMAIL,eng,TRUE,superadmin,now()
1114,Template for update Details SMS,Template for update Details SMS,txt,,"Dear $!name_eng,

Your UIN details for the Registration ID: $!RID have been updated and a physical copy of your UIN card will reach you soon at your postal address.",10003,Registration Processor,RPR_UIN_UPD_SMS,eng,TRUE,superadmin,now()
1107,قالب لبريد إلكتروني مكرر الهوية,قالب لبريد إلكتروني مكرر الهوية,txt,,"$!name_ara ،

أخفق طلبك للتسجيل  $!RID نظرًا لأنه تم العثور على UIN مقابل تفاصيلك. يرجى زيارة أقرب مكتب تسجيل.
وزيارة https://mosip.io/grievances

شكرا",10003,معالج التسجيل,RPR_DUP_UIN_EMAIL,ara,TRUE,superadmin,now()
1108,قالب لرسالة الهوية المكررة,قالب لرسالة الهوية المكررة,txt,,"$!name_ara ،

أخفق طلبك للتسجيل  $!RID نظرًا لأنه تم العثور على UIN مقابل تفاصيلك. يرجى زيارة أقرب مكتب تسجيل.
وزيارة https://mosip.io/grievances",10003,معالج التسجيل,RPR_DUP_UIN_SMS,ara,TRUE,superadmin,now()
1109,نموذج للبريد الإلكتروني لمشكلة فنية,نموذج للبريد الإلكتروني لمشكلة فنية,txt,,"$!name_ara ،

فشل طلب التسجيل $!RID بسبب مشكلة فنية. يرجى زيارة أقرب مكتب تسجيل.
وزيارة https://mosip.io/grievances

شكرا",10003,معالج التسجيل,RPR_TEC_ISSUE_EMAIL,ara,TRUE,superadmin,now()
1110,قالب لرسالة المشكلة الفنية,قالب لرسالة المشكلة الفنية,txt,,"$!name_ara ،

فشل طلب التسجيل $!RID بسبب مشكلة فنية. يرجى زيارة أقرب مكتب تسجيل.
وزيارة https://mosip.io/grievances",10003,معالج التسجيل,RPR_TEC_ISSUE_SMS,ara,TRUE,superadmin,now()
1111,قالب لتوليد الهوية البريد الإلكتروني,قالب لتوليد الهوية البريد الإلكتروني,txt,,"$!name_ara ،

تم إنشاء UIN الخاص بك للتسجيل $!RID بنجاح وستصل قريبًا إلى العنوان البريدي الخاص بك.

شكرا",10003,معالج التسجيل,RPR_UIN_GEN_EMAIL,ara,TRUE,superadmin,now()
1112,قالب لرسالة توليد الهوية,قالب لرسالة توليد الهوية,txt,,"$!name_ara ،

تم إنشاء UIN الخاص بك للتسجيل $!RID بنجاح وستصل قريبًا إلى العنوان البريدي الخاص بك.",10003,معالج التسجيل,RPR_UIN_GEN_SMS,ara,TRUE,superadmin,now()
1113,قالب للحصول على تفاصيل التحديث,قالب للحصول على تفاصيل التحديث,txt,,"$!name_ara ،

تم تحديث تفاصيل UIN المطابقة لمعرف التسجيل: $!RID وسوف تصل إليك نسخة مادية من UIN في عنوانك البريدي قريبًا.

شكرا",10003,معالج التسجيل,RPR_UIN_UPD_EMAIL,ara,TRUE,superadmin,now()
1114,قالب لتحديث تفاصيل الرسالة,قالب لتحديث تفاصيل الرسالة,txt,,"$!name_ara ،

تم تحديث تفاصيل UIN المطابقة لمعرف التسجيل: $!RID وسوف تصل إليك نسخة مادية من UIN في عنوانك البريدي قريبًا.",10003,معالج التسجيل,RPR_UIN_UPD_SMS,ara,TRUE,superadmin,now()
1107,Modèle de courrier didentité en double,Modèle de courrier didentité en double,txt,,"Cher $!name_fra,

Votre demande d'enregistrement $!RID a échoué car un UIN a été trouvé contre vos coordonnées. Veuillez vous rendre au bureau d'inscription le plus proche.
Et visitez https://mosip.io/grievances

Merci",10003,Processeur dinscription,RPR_DUP_UIN_EMAIL,fra,TRUE,superadmin,now()
1108,Modèle de message didentité en double,Modèle de message didentité en double,txt,,"Cher $!name_fra,

Votre demande d'enregistrement $!RID a échoué car un UIN a été trouvé contre vos coordonnées. Veuillez vous rendre au bureau d'inscription le plus proche.
Et visitez https://mosip.io/grievances",10003,Processeur dinscription,RPR_DUP_UIN_SMS,fra,TRUE,superadmin,now()
1109,Modèle pour courrier électronique de problème technique,Modèle pour courrier électronique de problème technique,txt,,"Cher $!name_fra,

Votre demande d'enregistrement $!RID a échoué à cause d'un problème technique. Veuillez vous rendre au bureau d'inscription le plus proche.
Et visitez https://mosip.io/grievances

Merci",10003,Processeur dinscription,RPR_TEC_ISSUE_EMAIL,fra,TRUE,superadmin,now()
1110,Modèle de message de problème technique,Modèle de message de problème technique,txt,,"Cher $!name_fra,

Votre demande d'enregistrement $!RID a échoué à cause d'un problème technique. Veuillez vous rendre au bureau d'inscription le plus proche.
Et visitez https://mosip.io/grievances",10003,Processeur dinscription,RPR_TEC_ISSUE_SMS,fra,TRUE,superadmin,now()
1111,Modèle de courrier électronique de génération didentité,Modèle de courrier électronique de génération didentité,txt,,"Cher $!name_fra,

Votre UIN pour ID d’enregistrement: $!RID a été généré avec succès et vous parviendra sous peu à votre adresse postale.

Merci",10003,Processeur dinscription,RPR_UIN_GEN_EMAIL,fra,TRUE,superadmin,now()
1112,Modèle de message de génération didentité,Modèle de message de génération didentité,txt,,"Cher $!name_fra,

Votre UIN pour ID d’enregistrement: $!RID a été généré avec succès et vous parviendra sous peu à votre adresse postale.",10003,Processeur dinscription,RPR_UIN_GEN_SMS,fra,TRUE,superadmin,now()
1113,Modèle pour les détails de la mise à jour Email,Modèle pour les détails de la mise à jour Email,txt,,"Cher $!name_fra,

Les détails de votre UIN correspondant à l’ID d’enregistrement: $!RID ont été mis à jour. Une copie physique de votre UIN vous parviendra sous peu à votre adresse postale.

Merci",10003,Processeur dinscription,RPR_UIN_UPD_EMAIL,fra,TRUE,superadmin,now()
1114,Modèle pour la mise à jour Détails Message,Modèle pour la mise à jour Détails Message,txt,,"Cher $!name_fra,

Les détails de votre UIN correspondant à l’ID d’enregistrement: $!RID ont été mis à jour. Une copie physique de votre UIN vous parviendra sous peu à votre adresse postale.",10003,Processeur dinscription,RPR_UIN_UPD_SMS,fra,TRUE,superadmin,now()
1115,Template for new registration Email Content,Template for new registration Email Content,txt,,"Dear $name, 
Thank you for registering with the digital identity platform. Your registration id is $RegistrationID. If there are any corrections to be made in your details, please contact the Registration centre within the next 4 days.",10002,Registration Client,NewReg-email-content-template,eng,TRUE,superadmin,now()
1116,Template for new registration Email Subject,Template for new registration Email Subject,txt,,Registration confirmation,10002,Registration Client,NewReg-email-subject-template,eng,TRUE,superadmin,now()
1117,Template for new registration SMS,Template for new registration SMS,txt,,"Dear $name,
Thank you for registering with the digital identity platform. Your registration id is $RegistrationID. If there are any corrections to be made in your details, please contact the Registration centre within the next 4 days. ",10002,Registration Client,NewReg-sms-template,eng,TRUE,superadmin,now()
1118,Template for OTP generation Email Content,Template for OTP generation Email Content,txt,,"Dear $name, 
OTP for username $username is $otp and is valid for $validTime minutes (Generated on $date at $time hrs).",10002,Registration Client,OTP-email-content-template,eng,TRUE,superadmin,now()
1119,Template for OTP generation Email Subject,Template for OTP generation Email Subject,txt,,One time password from digital identify platfor,10002,Registration Client,OTP-email-subject-template,eng,TRUE,superadmin,now()
1120,Template for OTP SMS,Template for OTP SMS,txt,,"Dear $name, 
OTP for username $username is $otp and is valid for $validTime minutes (Generated on $date at $time hrs).",10002,Registration Client,OTP-sms-template,eng,TRUE,superadmin,now()
1121,Template for update registration Email Content,Template for update registration Email Content,txt,,"Dear $name, 
Thank you for updating your details with the digital identity platform. Your registration id is $RegistrationID. If there are any corrections to be made in your details, please contact the Registration centre within the next 4 days.",10002,Registration Client,Update-email-content-template,eng,TRUE,superadmin,now()
1122,Template for update registration Email Subject,Template for update registration Email Subject,txt,,Registration update confirmation,10002,Registration Client,Update-email-subject-template,eng,TRUE,superadmin,now()
1123,Template for update registration SMS,Template for update registration SMS,txt,,"Dear $name, 
Thank you for updating your details with the digital identity platform. Your registration id is $RegistrationID. If there are any corrections to be made in your details, please contact the Registration centre within the next 4 days.",10002,Registration Client,Update-sms-template,eng,TRUE,superadmin,now()
1115,قالب للتسجيل الجديد محتوى البريد الإلكتروني,قالب للتسجيل الجديد محتوى البريد الإلكتروني,txt,,"$name ،
نشكرك على التسجيل في منصة الهوية الرقمية. رقم التسجيل الخاص بك هو $RegistrationID. إذا كان هناك أي تصحيحات يتم إدخالها في تفاصيلك ، يرجى الاتصال بمركز التسجيل في غضون 4 أيام مقبلة.",10002,عميل التسجيل,NewReg-email-content-template,ara,TRUE,superadmin,now()
1116,قالب للتسجيل الجديد البريد الإلكتروني الموضوع,قالب للتسجيل الجديد البريد الإلكتروني الموضوع,txt,,تأكيد التسجيل,10002,عميل التسجيل,NewReg-email-subject-template,ara,TRUE,superadmin,now()
1117,قالب لرسالة التسجيل الجديدة,قالب لرسالة التسجيل الجديدة,txt,,"$name ،
نشكرك على التسجيل في منصة الهوية الرقمية. رقم التسجيل الخاص بك هو $RegistrationID. إذا كان هناك أي تصحيحات يتم إدخالها في تفاصيلك ، يرجى الاتصال بمركز التسجيل في غضون 4 أيام مقبلة.",10002,عميل التسجيل,NewReg-sms-template,ara,TRUE,superadmin,now()
1118,قالب لتوليد OTP محتوى البريد الإلكتروني,قالب لتوليد OTP محتوى البريد الإلكتروني,txt,,"$name ،
OTP لاسم المستخدم $username هو $otp وصالحة لدقائق $validTime (منشأ على $date في $time hrs).",10002,عميل التسجيل,OTP-email-content-template,ara,TRUE,superadmin,now()
1119,قالب لتوليد OTP البريد الإلكتروني الموضوع,قالب لتوليد OTP البريد الإلكتروني الموضوع,txt,,كلمة مرور مرة واحدة من منصة تحديد الرقمية,10002,عميل التسجيل,OTP-email-subject-template,ara,TRUE,superadmin,now()
