code,descr,lang_code,is_active,cr_by,cr_dtimes
auth-email-content,Template for authorization content,eng,TRUE,superadmin,now()
auth-email-subject,Template for authorization subject,eng,TRUE,superadmin,now()
auth-sms,Template for authorization SMS,eng,TRUE,superadmin,now()
ida-auth-otp-email-content-template,Template for Email Content,eng,TRUE,superadmin,now()
ida-auth-otp-email-subject-template,Template for Email Subject,eng,TRUE,superadmin,now()
ida-auth-otp-sms-template,Template for OTP in SMS ,eng,TRUE,superadmin,now()
auth-email-content,قالب لمحتوى التخويل,ara,TRUE,superadmin,now()
auth-email-subject,قالب لموضوع التخويل,ara,TRUE,superadmin,now()
auth-sms,قالب لرسالة التفويض,ara,TRUE,superadmin,now()
ida-auth-otp-email-content-template,قالب لمحتوى البريد الإلكتروني,ara,TRUE,superadmin,now()
ida-auth-otp-email-subject-template,قالب لموضوع البريد الإلكتروني,ara,TRUE,superadmin,now()
ida-auth-otp-sms-template,قالب كلمة المرور لمرة واحدة في الرسالة,ara,TRUE,superadmin,now()
auth-email-content,Modèle de contenu dautorisation,fra,TRUE,superadmin,now()
auth-email-subject,Modèle pour sujet dautorisation,fra,TRUE,superadmin,now()
auth-sms,Modèle de SMS dautorisation,fra,TRUE,superadmin,now()
ida-auth-otp-email-content-template,Modèle de contenu de courrier électronique,fra,TRUE,superadmin,now()
ida-auth-otp-email-subject-template,Modèle pour sujet demail,fra,TRUE,superadmin,now()
ida-auth-otp-sms-template,Modèle pour OTP dans SMS,fra,TRUE,superadmin,now()
RPR_DUP_UIN_EMAIL,Template for duplicate UIN Email,eng,TRUE,superadmin,now()
RPR_DUP_UIN_SMS,Template for duplicate UIN SMS,eng,TRUE,superadmin,now()
RPR_TEC_ISSUE_EMAIL,Template for Technical Issue Email,eng,TRUE,superadmin,now()
RPR_TEC_ISSUE_SMS,Template for Technical Issue SMS,eng,TRUE,superadmin,now()
RPR_UIN_GEN_EMAIL,Template for UIN generation Email,eng,TRUE,superadmin,now()
RPR_UIN_GEN_SMS,Template for UIN generation SMS,eng,TRUE,superadmin,now()
RPR_UIN_UPD_EMAIL,Template for update details Email,eng,TRUE,superadmin,now()
RPR_UIN_UPD_SMS,Template for update Details SMS,eng,TRUE,superadmin,now()
