word,descr,lang_code,is_active,cr_by,cr_dtimes
shit,Blacklisted Word,eng,TRUE,superadmin,now()
damn,Blacklisted Word,eng,TRUE,superadmin,now()
nigga,Blacklisted Word,eng,TRUE,superadmin,now()
dammit,Blacklisted Word,eng,TRUE,superadmin,now()
الخراء,كلمة القائمة السوداء,ara,TRUE,superadmin,now()
لعنة,كلمة القائمة السوداء,ara,TRUE,superadmin,now()
نيغا,كلمة القائمة السوداء,ara,TRUE,superadmin,now()
اللعنة,كلمة القائمة السوداء,ara,TRUE,superadmin,now()
Merde,Mot sur la liste noire,fra,TRUE,superadmin,now()
Damn,Mot sur la liste noire,fra,TRUE,superadmin,now()
nigga,Mot sur la liste noire,fra,TRUE,superadmin,now()
bon sang,Mot sur la liste noire,fra,TRUE,superadmin,now()
