id,name,mac_address,serial_num,ip_address,dspec_id,zone_code,lang_code,is_active,cr_by,cr_dtimes,eff_dtimes
3000021,Dummy Finger Print Scanner 1,85-BB-97-4B-14-05,SZ5912878988,,165,NTH,eng,TRUE,superadmin,now(),now()
3000022,Dummy Finger Print Scanner 2,CD-27-9D-D6-F4-7B,HI5265090311,,165,NTH,eng,TRUE,superadmin,now(),now()
3000023,Dummy Finger Print Scanner 3,6B-D5-10-4B-3A-9E,AT8075685650,,165,NTH,eng,TRUE,superadmin,now(),now()
3000024,Dummy Finger Print Scanner 4,05-0C-BB-36-3D-AA,LN7315782625,,165,RSK,eng,TRUE,superadmin,now(),now()
3000025,Dummy Finger Print Scanner 5,BC-34-3E-E4-40-0D,AO3450786448,,165,CST,eng,TRUE,superadmin,now(),now()
3000026,Dummy Finger Print Scanner 6,8C-AE-12-9B-53-45,DF7558920652,,165,ORT,eng,TRUE,superadmin,now(),now()
3000027,Dummy Finger Print Scanner 7,D4-98-44-DD-AA-F1,CX8481464983,,165,NTH,eng,TRUE,superadmin,now(),now()
3000028,Dummy Finger Print Scanner 8,F2-26-5C-A9-88-63,HH7574636597,,165,STH,eng,TRUE,superadmin,now(),now()
3000029,Dummy Finger Print Scanner 9,2B-B1-C9-70-9D-DA,MD1908452896,,165,STH,eng,TRUE,superadmin,now(),now()
3000030,Dummy Finger Print Scanner 10,94-E0-20-B1-C1-11,EN4812780307,,165,STH,eng,TRUE,superadmin,now(),now()
3000031,Dummy Finger Print Scanner 11,D7-88-E6-E4-9B-33,TZ5054770527,,165,STH,eng,TRUE,superadmin,now(),now()
3000032,Dummy Finger Print Scanner 12,A7-64-1C-BF-97-C2,BB6657350993,,165,STH,eng,TRUE,superadmin,now(),now()
3000033,Dummy Finger Print Scanner 13,26-52-CA-B8-4B-CA,WI2193714914,,165,MRS,eng,TRUE,superadmin,now(),now()
3000034,Dummy Finger Print Scanner 14,D6-0B-0F-FC-D0-B8,AX1527799079,,165,MRS,eng,TRUE,superadmin,now(),now()
3000035,Dummy Finger Print Scanner 15,DE-34-78-77-7E-ED,ER3031383650,,165,MRS,eng,TRUE,superadmin,now(),now()
3000036,Dummy Finger Print Scanner 16,DC-E5-9C-A8-84-AB,UF1684233760,,165,MRS,eng,TRUE,superadmin,now(),now()
3000037,Dummy Finger Print Scanner 17,DC-66-E1-05-EF-66,UI1565192902,,165,SOS,eng,TRUE,superadmin,now(),now()
3000038,Dummy Finger Print Scanner 18,2D-F1-90-89-64-AC,DJ2032361963,,165,SOS,eng,TRUE,superadmin,now(),now()
