id,name,brand,model,dtyp_code,min_driver_ver,descr,lang_code,is_active,cr_by,cr_dtimes
165,Fingerprint Scanner,Safran Morpho,1300 E2,FRS,1.12,To scan fingerprint,fra,TRUE,superadmin,now()
165,فِنرِّنت سCَنّر,سافران مورفو,1301 E2,FRS,1.12,لمسح بصمة,ara,TRUE,superadmin,now()
165,Fingerprint Scanner,Safran Morpho,1300 E2,FRS,1.12,To scan fingerprint,eng,TRUE,superadmin,now()
327,High Speed Dual Iris Scanner,Cogent,3M,IRS,2.34,To scan iris,fra,TRUE,superadmin,now()
327,هِغ سد دَُل ِرِس سCَنّر,نّت,3M,IRS,2.34,لمسح قزحية العين,ara,TRUE,superadmin,now()
327,High Speed Dual Iris Scanner,Cogent,3M,IRS,2.34,To scan iris,eng,TRUE,superadmin,now()
736,Webcam,Logitech,C270,CMR,2.086,To capture photo,fra,TRUE,superadmin,now()
736,كاميرا ويب,لوجيتك,C270,CMR,2.086,لالتقاط صورة,ara,TRUE,superadmin,now()
736,Webcam,Logitech,C270,CMR,2.086,To capture photo,eng,TRUE,superadmin,now()
801,imageFORMULA,Canon,DR-C130,SCN,1.02,To scan documents,fra,TRUE,superadmin,now()
801,صورة الصيغة,َنّ,DR-C131,SCN,1.02,لمسح المستندات ضوئيًا,ara,TRUE,superadmin,now()
801,imageFORMULA,Canon,DR-C130,SCN,1.02,To scan documents,eng,TRUE,superadmin,now()
920,Single Function Inkjet,Canon,TS207,PRT,1.123,To print documents,fra,TRUE,superadmin,now()
920,سِنل فُنتٍ ِنكجت,َنّ,TS207,PRT,1.123,لطباعة الوثائق,ara,TRUE,superadmin,now()
920,Single Function Inkjet,Canon,TS207,PRT,1.123,To print documents,eng,TRUE,superadmin,now()
