code,name,descr,lang_code,is_active,cr_by,cr_dtimes
POA,Proof of Address,Address Proof,eng,TRUE,superadmin,now()
POA,إثبات العنوان,عنوان الدليل,ara,TRUE,superadmin,now()
POA,Un justificatif de domicile,Preuve dadresse,fra,TRUE,superadmin,now()
POI,Proof of Identity,Identity Proof,eng,TRUE,superadmin,now()
POI,إثبات هوية,إثبات الهوية,ara,TRUE,superadmin,now()
POI,Preuve didentité,Preuve didentité,fra,TRUE,superadmin,now()
POR,Proof of Relationship,Proof Relationship of the person,eng,TRUE,superadmin,now()
POR,إثبات العلاقة,إثبات علاقة الشخص,ara,TRUE,superadmin,now()
POR,Preuve de relation,Preuve de relation de la personne,fra,TRUE,superadmin,now()
POB,Proof of Birth,Proof date of birth of the person,eng,FALSE,superadmin,now()
POB,إثبات الميلاد,تاريخ إثبات ميلاد الشخص,ara,FALSE,superadmin,now()
POB,Preuve de naissance,Preuve de la date de naissance de la personne,fra,FALSE,superadmin,now()
POE,Proof of Biometric Exception,Proof of Biometric Exception,eng,TRUE,superadmin,now()
POE,دليل استثناء البيومترية,دليل استثناء البيومترية,ara,TRUE,superadmin,now()
POE,Preuve dexception biométrique,Preuve dexception biométrique,fra,TRUE,superadmin,now()
