code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
MOR,MyCountry,0,Country,,eng,TRUE,superadmin,now()
MOR,الْـمَغْرِبُ,0,بلد,,ara,TRUE,superadmin,now()
MOR,Maroc,0,Pays,,fra,TRUE,superadmin,now()
RSK,Rabat Sale Kenitra,1,Region,MOR,eng,TRUE,superadmin,now()
RSK,جهة الرباط سلا القنيطرة,1,منطقة,MOR,ara,TRUE,superadmin,now()
RSK,Rabat-Salé-Kénitra,1,Région,MOR,fra,TRUE,superadmin,now()
KTA,Kenitra,2,Province,RSK,eng,TRUE,superadmin,now()
KTA,القنيطرة,2,المحافظة,RSK,ara,TRUE,superadmin,now()
KTA,Kénitra,2,Province,RSK,fra,TRUE,superadmin,now()
KNT,Kenitra,3,City,KTA,eng,TRUE,superadmin,now()
KNT,القنيطرة,3,مدينة,KTA,ara,TRUE,superadmin,now()
KNT,Kénitra,3,Ville,KTA,fra,TRUE,superadmin,now()
BNMR,Ben Mansour,4,Zone,KNT,eng,TRUE,superadmin,now()
BNMR,بن منصور,4,منطقة,KNT,ara,TRUE,superadmin,now()
BNMR,Ben Mansour,4,Zone,KNT,fra,TRUE,superadmin,now()
14022,14022,5,Postal Code,BNMR,eng,TRUE,superadmin,now()
14022,14022,5,الرمز البريدي,BNMR,ara,TRUE,superadmin,now()
14022,14022,5,code postal,BNMR,fra,TRUE,superadmin,now()
MNAS,Mnasra,4,Zone,KNT,eng,TRUE,superadmin,now()
MNAS,منَسرَ,4,منطقة,KNT,ara,TRUE,superadmin,now()
MNAS,Mnasra,4,Zone,KNT,fra,TRUE,superadmin,now()
14053,14053,5,Postal Code,MNAS,eng,TRUE,superadmin,now()
14053,14053,5,الرمز البريدي,MNAS,ara,TRUE,superadmin,now()
14053,14053,5,code postal,MNAS,fra,TRUE,superadmin,now()
MOGR,Mograne,4,Zone,KNT,eng,TRUE,superadmin,now()
MOGR,مڭرن,4,منطقة,KNT,ara,TRUE,superadmin,now()
MOGR,Mograne,4,Zone,KNT,fra,TRUE,superadmin,now()
14023,14023,5,Postal Code,MOGR,eng,TRUE,superadmin,now()
14023,14023,5,الرمز البريدي,MOGR,ara,TRUE,superadmin,now()
14023,14023,5,code postal,MOGR,fra,TRUE,superadmin,now()
ASSM,Assam,4,Zone,KNT,eng,TRUE,superadmin,now()
ASSM,العصام,4,منطقة,KNT,ara,TRUE,superadmin,now()
ASSM,Assam,4,Zone,KNT,fra,TRUE,superadmin,now()
