regcntr_id,machine_id,device_id,lang_code,is_active,cr_by,cr_dtimes
10001,10001,3000021,eng,TRUE,superadmin(),now()
10003,10002,3000022,eng,TRUE,superadmin(),now()
10003,10003,3000023,eng,TRUE,superadmin(),now()
10004,10004,3000024,eng,TRUE,superadmin(),now()
10005,10005,3000025,eng,TRUE,superadmin(),now()
10006,10006,3000026,eng,TRUE,superadmin(),now()
10007,10007,3000027,eng,TRUE,superadmin(),now()
10008,10008,3000028,eng,TRUE,superadmin(),now()
10009,10009,3000029,eng,TRUE,superadmin(),now()
10010,10010,3000030,eng,TRUE,superadmin(),now()
10011,10011,3000031,eng,TRUE,superadmin(),now()
10011,10012,3000032,eng,TRUE,superadmin(),now()
10012,10013,3000033,eng,TRUE,superadmin(),now()
10012,10014,3000034,eng,TRUE,superadmin(),now()
10013,10015,3000035,eng,TRUE,superadmin(),now()
10013,10016,3000036,eng,TRUE,superadmin(),now()
10014,10017,3000037,eng,TRUE,superadmin(),now()
10014,10018,3000038,eng,TRUE,superadmin(),now()
10015,10019,3000039,eng,TRUE,superadmin(),now()
10015,10020,3000040,eng,TRUE,superadmin(),now()
10001,10001,3000041,eng,TRUE,superadmin(),now()
10003,10002,3000042,eng,TRUE,superadmin(),now()
10003,10003,3000043,eng,TRUE,superadmin(),now()
10004,10004,3000044,eng,TRUE,superadmin(),now()
10005,10005,3000045,eng,TRUE,superadmin(),now()
10006,10006,3000046,eng,TRUE,superadmin(),now()
10007,10007,3000047,eng,TRUE,superadmin(),now()
10008,10008,3000048,eng,TRUE,superadmin(),now()
10009,10009,3000049,eng,TRUE,superadmin(),now()
10010,10010,3000050,eng,TRUE,superadmin(),now()
10011,10011,3000051,eng,TRUE,superadmin(),now()
10011,10012,3000052,eng,TRUE,superadmin(),now()
10012,10013,3000053,eng,TRUE,superadmin(),now()
10012,10014,3000054,eng,TRUE,superadmin(),now()
10013,10015,3000055,eng,TRUE,superadmin(),now()
10013,10016,3000056,eng,TRUE,superadmin(),now()
10014,10017,3000057,eng,TRUE,superadmin(),now()
10014,10018,3000058,eng,TRUE,superadmin(),now()
10015,10019,3000059,eng,TRUE,superadmin(),now()
10015,10020,3000060,eng,TRUE,superadmin(),now()
10001,10001,3000061,eng,TRUE,superadmin(),now()
10003,10002,3000062,eng,TRUE,superadmin(),now()
10003,10003,3000063,eng,TRUE,superadmin(),now()
10004,10004,3000064,eng,TRUE,superadmin(),now()
10005,10005,3000065,eng,TRUE,superadmin(),now()
10006,10006,3000066,eng,TRUE,superadmin(),now()
10007,10007,3000067,eng,TRUE,superadmin(),now()
10008,10008,3000068,eng,TRUE,superadmin(),now()
10009,10009,3000069,eng,TRUE,superadmin(),now()
10010,10010,3000070,eng,TRUE,superadmin(),now()
10011,10011,3000071,eng,TRUE,superadmin(),now()
10011,10012,3000072,eng,TRUE,superadmin(),now()
10012,10013,3000073,eng,TRUE,superadmin(),now()
10012,10014,3000074,eng,TRUE,superadmin(),now()
10013,10015,3000075,eng,TRUE,superadmin(),now()
10013,10016,3000076,eng,TRUE,superadmin(),now()
10014,10017,3000077,eng,TRUE,superadmin(),now()
10014,10018,3000078,eng,TRUE,superadmin(),now()
10015,10019,3000079,eng,TRUE,superadmin(),now()
10015,10020,3000080,eng,TRUE,superadmin(),now()
10001,10001,3000081,eng,TRUE,superadmin(),now()
10003,10002,3000082,eng,TRUE,superadmin(),now()
10003,10003,3000083,eng,TRUE,superadmin(),now()
10004,10004,3000084,eng,TRUE,superadmin(),now()
10005,10005,3000085,eng,TRUE,superadmin(),now()
10006,10006,3000086,eng,TRUE,superadmin(),now()
10007,10007,3000087,eng,TRUE,superadmin(),now()
10008,10008,3000088,eng,TRUE,superadmin(),now()
10009,10009,3000089,eng,TRUE,superadmin(),now()
10010,10010,3000090,eng,TRUE,superadmin(),now()
10011,10011,3000091,eng,TRUE,superadmin(),now()
10011,10012,3000092,eng,TRUE,superadmin(),now()
10012,10013,3000093,eng,TRUE,superadmin(),now()
