regcntr_id,usr_id,lang_code,is_active,cr_by,cr_dtimes,eff_dtimes
10001,110001,eng,TRUE,superadmin,now(),now()
10003,110002,eng,TRUE,superadmin,now(),now()
10003,110003,eng,TRUE,superadmin,now(),now()
10004,110004,eng,TRUE,superadmin,now(),now()
10005,110005,eng,TRUE,superadmin,now(),now()
10006,110006,eng,TRUE,superadmin,now(),now()
10007,110007,eng,TRUE,superadmin,now(),now()
10008,110008,eng,TRUE,superadmin,now(),now()
10009,110009,eng,TRUE,superadmin,now(),now()
10010,110010,eng,TRUE,superadmin,now(),now()
10011,110011,eng,TRUE,superadmin,now(),now()
10011,110012,eng,TRUE,superadmin,now(),now()
10012,110013,eng,TRUE,superadmin,now(),now()
10012,110014,eng,TRUE,superadmin,now(),now()
10013,110015,eng,TRUE,superadmin,now(),now()
10013,110016,eng,TRUE,superadmin,now(),now()
10014,110017,eng,TRUE,superadmin,now(),now()
10014,110018,eng,TRUE,superadmin,now(),now()
10015,110019,eng,TRUE,superadmin,now(),now()
10015,110020,eng,TRUE,superadmin,now(),now()
10002,110021,eng,TRUE,superadmin,now(),now()
10003,110022,eng,TRUE,superadmin,now(),now()
10004,110023,eng,TRUE,superadmin,now(),now()
10003,110024,eng,TRUE,superadmin,now(),now()
10006,110025,eng,TRUE,superadmin,now(),now()
10007,110026,eng,TRUE,superadmin,now(),now()
10008,110027,eng,TRUE,superadmin,now(),now()
10009,110028,eng,TRUE,superadmin,now(),now()
10010,110029,eng,TRUE,superadmin,now(),now()
10001,110030,eng,TRUE,superadmin,now(),now()
10001,110031,eng,TRUE,superadmin,now(),now()
10002,110032,eng,TRUE,superadmin,now(),now()
10005,110033,eng,TRUE,superadmin,now(),now()
10005,110034,eng,TRUE,superadmin,now(),now()
10005,110035,eng,TRUE,superadmin,now(),now()
10006,110036,eng,TRUE,superadmin,now(),now()
10006,110037,eng,TRUE,superadmin,now(),now()
10006,110038,eng,TRUE,superadmin,now(),now()
10006,110039,eng,TRUE,superadmin,now(),now()
10006,110040,eng,TRUE,superadmin,now(),now()
10006,110041,eng,TRUE,superadmin,now(),now()
10006,110042,eng,TRUE,superadmin,now(),now()
10006,110043,eng,TRUE,superadmin,now(),now()
10006,110044,eng,TRUE,superadmin,now(),now()
10006,110045,eng,TRUE,superadmin,now(),now()
10006,110046,eng,TRUE,superadmin,now(),now()
10006,110047,eng,TRUE,superadmin,now(),now()
10006,110048,eng,TRUE,superadmin,now(),now()
10006,110049,eng,TRUE,superadmin,now(),now()
10006,110050,eng,TRUE,superadmin,now(),now()
10006,110051,eng,TRUE,superadmin,now(),now()
10006,110052,eng,TRUE,superadmin,now(),now()
10006,110053,eng,TRUE,superadmin,now(),now()
10006,110054,eng,TRUE,superadmin,now(),now()
10006,110055,eng,TRUE,superadmin,now(),now()
10006,110056,eng,TRUE,superadmin,now(),now()
10006,110057,eng,TRUE,superadmin,now(),now()
10007,110058,eng,TRUE,superadmin,now(),now()
10007,110059,eng,TRUE,superadmin,now(),now()
10007,110060,eng,TRUE,superadmin,now(),now()
10007,110061,eng,TRUE,superadmin,now(),now()
10008,110062,eng,TRUE,superadmin,now(),now()
10008,110063,eng,TRUE,superadmin,now(),now()
10008,110064,eng,TRUE,superadmin,now(),now()
10008,110065,eng,TRUE,superadmin,now(),now()
10008,110066,eng,TRUE,superadmin,now(),now()
10008,110067,eng,TRUE,superadmin,now(),now()
10008,110068,eng,TRUE,superadmin,now(),now()
10008,110069,eng,TRUE,superadmin,now(),now()
10008,110070,eng,TRUE,superadmin,now(),now()
10008,110071,eng,TRUE,superadmin,now(),now()
10008,110072,eng,TRUE,superadmin,now(),now()
10008,110073,eng,TRUE,superadmin,now(),now()
10008,110074,eng,TRUE,superadmin,now(),now()
33333,110075,eng,TRUE,superadmin,now(),now()
33333,110076,eng,TRUE,superadmin,now(),now()
33333,110077,eng,TRUE,superadmin,now(),now()
33333,110078,eng,TRUE,superadmin,now(),now()
33333,110079,eng,TRUE,superadmin,now(),now()
33333,110080,eng,TRUE,superadmin,now(),now()
33333,110081,eng,TRUE,superadmin,now(),now()
33333,110082,eng,TRUE,superadmin,now(),now()
33333,110083,eng,TRUE,superadmin,now(),now()
33333,110084,eng,TRUE,superadmin,now(),now()
33333,110085,eng,TRUE,superadmin,now(),now()
33333,110086,eng,TRUE,superadmin,now(),now()
10008,110087,eng,TRUE,superadmin,now(),now()
10008,110088,eng,TRUE,superadmin,now(),now()
10008,110089,eng,TRUE,superadmin,now(),now()
10008,110090,eng,TRUE,superadmin,now(),now()
10008,110091,eng,TRUE,superadmin,now(),now()
10008,110092,eng,TRUE,superadmin,now(),now()
10008,110093,eng,TRUE,superadmin,now(),now()
10008,110094,eng,TRUE,superadmin,now(),now()
10008,110095,eng,TRUE,superadmin,now(),now()
10008,110096,eng,TRUE,superadmin,now(),now()
10008,110097,eng,TRUE,superadmin,now(),now()
10008,110098,eng,TRUE,superadmin,now(),now()
10008,110099,eng,TRUE,superadmin,now(),now()
10008,110100,eng,TRUE,superadmin,now(),now()
10008,110101,eng,TRUE,superadmin,now(),now()
