id,name,cntrtyp_code,addr_line1,addr_line2,addr_line3,latitude,longitude,location_code,contact_phone,contact_person,number_of_kiosks,working_hours,per_kiosk_process_time,center_start_time,center_end_time,lunch_start_time,lunch_end_time,time_zone,holiday_loc_code,zone_code,lang_code,is_active,cr_by,cr_dtimes,eff_dtimes
10001,Center A Ben Mansour,REG,P4238,Ben Mansour,Morocco,34.52117,-6.453275,14022,779517433,John Doe,3,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,RBT,eng,TRUE,superadmin,now(),now()
10001,المركز أ بن منصور,REG,P4238,بن منصور,المغرب,34.52117,-6.453275,14022,944945765,جهن د,3,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,KTA,RBT,ara,TRUE,superadmin,now(),now()
10001,Centre A Ben Mansour,REG,P4238,Ben Mansour,Maroc,34.52117,-6.453275,14022,993556086,John Doe,3,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,RBT,fra,TRUE,superadmin,now(),now()
10002,Rural Municipal Mnasra,REG,Route De Moulay Bousselham,Douar Sbih Menacera,Morocco,34.360207,-6.550075,14053,753476995,John Smith,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,KTA,eng,TRUE,superadmin,now(),now()
10002,بلدية مناصرة الريفية,REG,"القنيطرة، المغرب","دوار اصبيح المناصرة، المغرب",المغرب,34.360207,-6.550075,14053,910638389,جهن سمِث,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,KTA,KTA,ara,TRUE,superadmin,now(),now()
10002,Commune Rurale Mnasra,REG,Route De Moulay Bousselham,Douar Sbih Menacera,Maroc,34.360207,-6.550075,14053,984996886,John Smith,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,KTA,fra,TRUE,superadmin,now(),now()
10003,Souk Khemiss Mograne,REG,Route N1,Mograne,Morocco,34.405692,-6.433368,14023,734239083,Mario Speedwagon,4,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,SAL,eng,TRUE,superadmin,now(),now()
10003,سوق الخميس مكرن,REG,الطريق N1,مڭرن,المغرب,34.405692,-6.433368,14023,910944467,مَرِ سدوَن,4,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,KTA,SAL,ara,TRUE,superadmin,now(),now()
10003,Souk Khemiss Mograne,REG,la route N1,Mograne,Maroc,34.405692,-6.433368,14023,675470523,Mario Speedwagon,4,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,SAL,fra,TRUE,superadmin,now(),now()
10004,Center Assam,REG,7 Km Tangier Road,Kenitra,Morocco,34.287879,-6.516428,14000,937997757,Paige Turner,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,RBT,eng,TRUE,superadmin,now(),now()
10004,مركز اسام,REG," km 7 سيدي قاسم، المغرب",القنيطرة,المغرب,34.287879,-6.516428,14000,950807537,اِ تُرنر,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,KTA,RBT,ara,TRUE,superadmin,now(),now()
10004,centre assam,REG,km 7 route de Tanger,Kénitra,Maroc,34.287879,-6.516428,14000,852492117,Paige Turner,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,RBT,fra,TRUE,superadmin,now(),now()
10005,Center Mehdia,REG,Mehdia Road Amria mehdia,Kenitra,Maroc,34.256414,-6.675499,14110,887311749,Walter Melon,1,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,BSN,eng,TRUE,superadmin,now(),now()
10005,مركز مهدية,REG,طريق المهدية امرية المهدية,القنيطرة,المغرب,34.256414,-6.675499,14110,929072416,وَلتر ملن ,1,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,KTA,BSN,ara,TRUE,superadmin,now(),now()
