id,app_id,name,descr,lang_code,is_active,cr_by,cr_dtimes
approveRegistrationRoot,10003,approveRegistrationRoot,approveRegistrationRoot,eng,TRUE,superadmin,now()
loginRoot,10003,loginRoot,loginRoot,eng,TRUE,superadmin,now()
lostUINRoot,10003,lostUINRoot,lostUINRoot,eng,TRUE,superadmin,now()
newRegistrationRoot,10003,newRegistrationRoot,newRegistrationRoot,eng,TRUE,superadmin,now()
onBoardRoot,10003,onBoardRoot,onBoardRoot,eng,TRUE,superadmin,now()
registrationCorrectionRoot,10003,registrationCorrectionRoot,registrationCorrectionRoot,eng,TRUE,superadmin,now()
sendPacketServerRoot,10003,sendPacketServerRoot,sendPacketServerRoot,eng,TRUE,superadmin,now()
syncServerClientRoot,10003,syncServerClientRoot,syncServerClientRoot,eng,TRUE,superadmin,now()
uinActivationRoot,10003,uinActivationRoot,uinActivationRoot,eng,TRUE,superadmin,now()
uinUpdateRoot,10003,uinUpdateRoot,uinUpdateRoot,eng,TRUE,superadmin,now()
updateClientSoftwareRoot,10003,updateClientSoftwareRoot,updateClientSoftwareRoot,eng,TRUE,superadmin,now()
reportRoot,10003,reportRoot,reportRoot,eng,TRUE,superadmin,now()
syncClientServerRoot,10003,syncClientServerRoot,syncClientServerRoot,eng,TRUE,superadmin,now()
eodRoot,10003,eodroot,eodroot,eng,TRUE,superadmin,now()
reRegisterRoot,10003,reRegisterRoot,reRegisterRoot,eng,TRUE,superadmin,now()
uploadPacketRoot,10003,uploadPacketRoot,uploadPacketRoot,eng,TRUE,superadmin,now()
