code,descr,lang_code,is_active,cr_by,cr_dtimes
txt,Text File,eng,TRUE,superadmin,now()
xml,XML File,eng,TRUE,superadmin,now()
json,Json File,eng,TRUE,superadmin,now()
txt,ملف نصي,ara,TRUE,superadmin,now()
xml,ملف XML,ara,TRUE,superadmin,now()
json,ملف Json,ara,TRUE,superadmin,now()
txt,Fichier texte,fra,TRUE,superadmin,now()
xml,Fichier XML,fra,TRUE,superadmin,now()
json,Fichier Json,fra,TRUE,superadmin,now()
html,html file,eng,TRUE,superadmin,now()
html,ملف html,ara,TRUE,superadmin,now()
html,Fichier html,fra,TRUE,superadmin,now()
