code,name,hierarchy_level,hierarchy_level_name,hierarchy_path,parent_zone_code,lang_code,is_active,cr_by,cr_dtimes
MOR,MyCountry,0,Country,MOR,,eng,TRUE,superadmin,now()
MOR,الْـمَغْرِبُ,0,بلد,MOR,,ara,TRUE,superadmin,now()
MOR,Maroc,0,Pays,MOR,,fra,TRUE,superadmin,now()
NTH,North,1,Direction,MOR/NTH,MOR,eng,TRUE,superadmin,now()
NTH,شمال,1,اتجاه,MOR/NTH,MOR,ara,TRUE,superadmin,now()
NTH,Nord,1,Direction,MOR/NTH,MOR,fra,TRUE,superadmin,now()
RSK,RabatSaleKenitra,2,Region,MOR/NTH/RSK,NTH,eng,TRUE,superadmin,now()
RSK,جهةالرباطسلاالقنيطرة,2,منطقة,MOR/NTH/RSK,NTH,ara,TRUE,superadmin,now()
RSK,Rabat-Salé-Kénitra,2,Région,MOR/NTH/RSK,NTH,fra,TRUE,superadmin,now()
RBT,Rabat,3,Province,MOR/NTH/RSK/RBT,RSK,eng,TRUE,superadmin,now()
RBT,الرباط,3,المحافظة,MOR/NTH/RSK/RBT,RSK,ara,TRUE,superadmin,now()
RBT,Rabat,3,Province,MOR/NTH/RSK/RBT,RSK,fra,TRUE,superadmin,now()
KTA,Kenitra,3,Province,MOR/NTH/RSK/KTA,RSK,eng,TRUE,superadmin,now()
KTA,القنيطرة,3,المحافظة,MOR/NTH/RSK/KTA,RSK,ara,TRUE,superadmin,now()
KTA,Kénitra,3,Province,MOR/NTH/RSK/KTA,RSK,fra,TRUE,superadmin,now()
SAL,Salé ,3,Province,MOR/NTH/RSK/SAL,RSK,eng,TRUE,superadmin,now()
SAL,سلا,3,المحافظة,MOR/NTH/RSK/SAL,RSK,ara,TRUE,superadmin,now()
SAL,Sala,3,Province,MOR/NTH/RSK/SAL,RSK,fra,TRUE,superadmin,now()
CST,Casablanca-Settat,2,Region,MOR/NTH/CST,NTH,eng,TRUE,superadmin,now()
CST,الدارالبيضاء-سطات,2,منطقة,MOR/NTH/CST,NTH,ara,TRUE,superadmin,now()
CST,Casablanca-Settat,2,Région,MOR/NTH/CST,NTH,fra,TRUE,superadmin,now()
BSN,Benslimane,3,Province,MOR/NTH/CST/BSN,CST,eng,TRUE,superadmin,now()
BSN,بنسليمان,3,المحافظة,MOR/NTH/CST/BSN,CST,ara,TRUE,superadmin,now()
BSN,Benslimane,3,Province,MOR/NTH/CST/BSN,CST,fra,TRUE,superadmin,now()
CSB,Casablanca,3,Province,MOR/NTH/CST/CSB,CST,eng,TRUE,superadmin,now()
CSB,ٱلدَّارٱلْبَيْضَاء‎,3,المحافظة,MOR/NTH/CST/CSB,CST,ara,TRUE,superadmin,now()
CSB,Casablanca,3,Province,MOR/NTH/CST/CSB,CST,fra,TRUE,superadmin,now()
STT,Settat,3,Province,MOR/NTH/CST/STT,CST,eng,TRUE,superadmin,now()
STT,سطات‎,3,المحافظة,MOR/NTH/CST/STT,CST,ara,TRUE,superadmin,now()
STT,Settat,3,Province,MOR/NTH/CST/STT,CST,fra,TRUE,superadmin,now()
ORT,Oriental,2,Region,MOR/NTH/ORT,NTH,eng,TRUE,superadmin,now()
ORT,الشرق,2,منطقة,MOR/NTH/ORT,NTH,ara,TRUE,superadmin,now()
