zone_code,usr_id,lang_code,is_active,cr_by,cr_dtimes
NTH,110001,eng,TRUE,superadmin,now()
NTH,110002,eng,TRUE,superadmin,now()
NTH,110003,eng,TRUE,superadmin,now()
RSK,110004,eng,TRUE,superadmin,now()
CST,110005,eng,TRUE,superadmin,now()
ORT,110006,eng,TRUE,superadmin,now()
NTH,110007,eng,TRUE,superadmin,now()
STH,110008,eng,TRUE,superadmin,now()
STH,110009,eng,TRUE,superadmin,now()
STH,110010,eng,TRUE,superadmin,now()
STH,110011,eng,TRUE,superadmin,now()
STH,110012,eng,TRUE,superadmin,now()
MRS,110013,eng,TRUE,superadmin,now()
MRS,110014,eng,TRUE,superadmin,now()
MRS,110015,eng,TRUE,superadmin,now()
MRS,110016,eng,TRUE,superadmin,now()
SOS,110017,eng,TRUE,superadmin,now()
SOS,110018,eng,TRUE,superadmin,now()
SOS,110019,eng,TRUE,superadmin,now()
SOS,110020,eng,TRUE,superadmin,now()
NTH,110021,eng,TRUE,superadmin,now()
NTH,110022,eng,TRUE,superadmin,now()
RSK,110023,eng,TRUE,superadmin,now()
NTH,110024,eng,TRUE,superadmin,now()
ORT,110025,eng,TRUE,superadmin,now()
NTH,110026,eng,TRUE,superadmin,now()
STH,110027,eng,TRUE,superadmin,now()
STH,110028,eng,TRUE,superadmin,now()
STH,110029,eng,TRUE,superadmin,now()
NTH,110030,eng,TRUE,superadmin,now()
NTH,110031,eng,TRUE,superadmin,now()
NTH,110032,eng,TRUE,superadmin,now()
CST,110033,eng,TRUE,superadmin,now()
CST,110034,eng,TRUE,superadmin,now()
CST,110035,eng,TRUE,superadmin,now()
ORT,110036,eng,TRUE,superadmin,now()
ORT,110037,eng,TRUE,superadmin,now()
ORT,110038,eng,TRUE,superadmin,now()
ORT,110039,eng,TRUE,superadmin,now()
ORT,110040,eng,TRUE,superadmin,now()
ORT,110041,eng,TRUE,superadmin,now()
ORT,110042,eng,TRUE,superadmin,now()
ORT,110043,eng,TRUE,superadmin,now()
ORT,110044,eng,TRUE,superadmin,now()
ORT,110045,eng,TRUE,superadmin,now()
ORT,110046,eng,TRUE,superadmin,now()
ORT,110047,eng,TRUE,superadmin,now()
ORT,110048,eng,TRUE,superadmin,now()
ORT,110049,eng,TRUE,superadmin,now()
ORT,110050,eng,TRUE,superadmin,now()
ORT,110051,eng,TRUE,superadmin,now()
ORT,110052,eng,TRUE,superadmin,now()
ORT,110053,eng,TRUE,superadmin,now()
ORT,110054,eng,TRUE,superadmin,now()
ORT,110055,eng,TRUE,superadmin,now()
ORT,110056,eng,TRUE,superadmin,now()
ORT,110057,eng,TRUE,superadmin,now()
NTH,110058,eng,TRUE,superadmin,now()
NTH,110059,eng,TRUE,superadmin,now()
NTH,110060,eng,TRUE,superadmin,now()
NTH,110061,eng,TRUE,superadmin,now()
STH,110062,eng,TRUE,superadmin,now()
STH,110063,eng,TRUE,superadmin,now()
STH,110064,eng,TRUE,superadmin,now()
STH,110065,eng,TRUE,superadmin,now()
STH,110066,eng,TRUE,superadmin,now()
STH,110067,eng,TRUE,superadmin,now()
STH,110068,eng,TRUE,superadmin,now()
STH,110069,eng,TRUE,superadmin,now()
STH,110070,eng,TRUE,superadmin,now()
STH,110071,eng,TRUE,superadmin,now()
STH,110072,eng,TRUE,superadmin,now()
STH,110073,eng,TRUE,superadmin,now()
STH,110074,eng,TRUE,superadmin,now()
NTH,110075,eng,TRUE,superadmin,now()
NTH,110076,eng,TRUE,superadmin,now()
NTH,110077,eng,TRUE,superadmin,now()
NTH,110078,eng,TRUE,superadmin,now()
NTH,110079,eng,TRUE,superadmin,now()
NTH,110080,eng,TRUE,superadmin,now()
NTH,110081,eng,TRUE,superadmin,now()
NTH,110082,eng,TRUE,superadmin,now()
NTH,110083,eng,TRUE,superadmin,now()
NTH,110084,eng,TRUE,superadmin,now()
NTH,110085,eng,TRUE,superadmin,now()
NTH,110086,eng,TRUE,superadmin,now()
STH,110087,eng,TRUE,superadmin,now()
STH,110088,eng,TRUE,superadmin,now()
STH,110089,eng,TRUE,superadmin,now()
STH,110090,eng,TRUE,superadmin,now()
STH,110091,eng,TRUE,superadmin,now()
STH,110092,eng,TRUE,superadmin,now()
STH,110093,eng,TRUE,superadmin,now()
STH,110094,eng,TRUE,superadmin,now()
STH,110095,eng,TRUE,superadmin,now()
STH,110096,eng,TRUE,superadmin,now()
STH,110097,eng,TRUE,superadmin,now()
STH,110098,eng,TRUE,superadmin,now()
STH,110099,eng,TRUE,superadmin,now()
STH,110100,eng,TRUE,superadmin,now()
STH,110101,eng,TRUE,superadmin,now()
