code,name,description,langCode,isActive
REG,Regular,Regular Registration Center,eng,TRUE
12,AAA,AASDD,eng,TRUE
124,Regular,Regular Registration Center,eng,TRUE
125,AAA,AASDD,eng,TRUE
126,Regular,Regular Registration Center,eng,TRUE
127,AAA,AASDD,eng,TRUE
128,Regular,Regular Registration Center,eng,TRUE
129,AAA,AASDD,eng,TRUE
130,Regular,Regular Registration Center,eng,TRUE
131,AAA,AASDD,eng,TRUE
132,Regular,Regular Registration Center,eng,TRUE
133,AAA,AASDD,eng,TRUE
134,Regular,Regular Registration Center,eng,TRUE
135,AAA,AASDD,eng,TRUE
136,Regular,Regular Registration Center,eng,TRUE
137,AAA,AASDD,eng,TRUE
138,Regular,Regular Registration Center,eng,TRUE
139,AAA,AASDD,eng,TRUE
140,Regular,Regular Registration Center,eng,TRUE
141,AAA,AASDD,eng,TRUE
142,Regular,Regular Registration Center,eng,TRUE
143,AAA,AASDD,eng,TRUE
144,Regular,Regular Registration Center,eng,TRUE
145,AAA,AASDD,eng,TRUE
146,Regular,Regular Registration Center,eng,TRUE
147,AAA,AASDD,eng,TRUE
148,Regular,Regular Registration Center,eng,TRUE
149,AAA,AASDD,eng,TRUE
150,Regular,Regular Registration Center,eng,TRUE
151,AAA,AASDD,eng,TRUE
152,Regular,Regular Registration Center,eng,TRUE
153,AAA,AASDD,eng,TRUE
154,Regular,Regular Registration Center,eng,TRUE
155,AAA,AASDD,eng,TRUE
156,Regular,Regular Registration Center,eng,TRUE
157,AAA,AASDD,eng,TRUE
158,Regular,Regular Registration Center,eng,TRUE
159,AAA,AASDD,eng,TRUE
160,Regular,Regular Registration Center,eng,TRUE
161,AAA,AASDD,eng,TRUE
