lang_code,code,name,descr,bmtyp_code,is_active
eng,TM,Thumbs,Print of Left and Right Thumbs,FNR,True
eng,RH,Right Slab,Print of Right Slab,FNR,True
eng,LH,Left Slab,Print of Left Slab,FNR,True
eng,LI,Left Iris,Print of Left Iris,IRS,True
eng,RI,Right Iris,Print of Right Iris,IRS,True
fra,TM,Les pouces,Empreinte des pouces gauche et droit,FNR,True
fra,RH,Dalle droite,Impression de la dalle droite,FNR,True
fra,LH,Dalle gauche,Impression de la dalle gauche,FNR,True
fra,LI,Iris gauche,Gravure de Iris Gauche,IRS,True
fra,RI,Iris droit,Empreinte de l'iris droit,IRS,True
