lang_code,id,name,mac_address,serial_num,ip_address,dspec_id,zone_code,regcntr_id,is_active
eng,1001,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,RBT,10001,True
eng,2001,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,RBT,10001,True
eng,3001,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,RBT,10001,True
fra,1001,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,RBT,10001,True
fra,2001,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,RBT,10001,True
fra,3001,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,RBT,10001,True
eng,1002,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,KTA,10002,True
eng,2002,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,KTA,10002,True
eng,3002,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,KTA,10002,True
fra,1002,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,KTA,10002,True
fra,2002,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,KTA,10002,True
fra,3002,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,KTA,10002,True
eng,1003,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,SAL,10003,True
eng,2003,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,SAL,10003,True
eng,3003,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,SAL,10003,True
fra,1003,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,SAL,10003,True
fra,2003,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,SAL,10003,True
fra,3003,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,SAL,10003,True
eng,1004,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,RBT,10004,True
eng,2004,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,RBT,10004,True
eng,3004,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,RBT,10004,True
fra,1004,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,RBT,10004,True
fra,2004,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,RBT,10004,True
fra,3004,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,RBT,10004,True
eng,1005,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,BSN,10005,True
eng,2005,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,BSN,10005,True
eng,3005,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,BSN,10005,True
fra,1005,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,BSN,10005,True
fra,2005,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,BSN,10005,True
fra,3005,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,BSN,10005,True
eng,1006,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,NDR,10006,True
eng,2006,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,NDR,10006,True
eng,3006,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,NDR,10006,True
fra,1006,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,NDR,10006,True
fra,2006,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,NDR,10006,True
fra,3006,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,NDR,10006,True
eng,1007,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,STT,10007,True
eng,2007,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,STT,10007,True
eng,3007,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,STT,10007,True
fra,1007,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,STT,10007,True
fra,2007,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,STT,10007,True
