lang_code,id,name,mac_address,serial_num,ip_address,dspec_id,zone_code,regcntr_id,is_active,eff_dtimes
eng,1001,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,RBT,10001,True,now()
eng,2001,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,RBT,10001,True,now()
eng,3001,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,RBT,10001,True,now()
fra,1001,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,RBT,10001,True,now()
fra,2001,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,RBT,10001,True,now()
fra,3001,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,RBT,10001,True,now()
eng,1002,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,KTA,10002,True,now()
eng,2002,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,KTA,10002,True,now()
eng,3002,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,KTA,10002,True,now()
fra,1002,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,KTA,10002,True,now()
fra,2002,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,KTA,10002,True,now()
fra,3002,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,KTA,10002,True,now()
eng,1003,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,SAL,10003,True,now()
eng,2003,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,SAL,10003,True,now()
eng,3003,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,SAL,10003,True,now()
fra,1003,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,SAL,10003,True,now()
fra,2003,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,SAL,10003,True,now()
fra,3003,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,SAL,10003,True,now()
eng,1004,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,RBT,10004,True,now()
