lang_code,id,location_code,holiday_date,holiday_name,holiday_desc,is_active
eng,2000001,KTA,1/1/2019,New Year's Day,National Holiday,True
eng,2000002,KTA,1/11/2019,Anniversary of the Independence Manifesto,National Holiday,True
eng,2000003,KTA,5/1/2019,Labour Day/May Day,National Holiday,True
eng,2000004,KTA,6/5/2019,Eid al-Fitr,National Holiday,True
eng,2000005,KTA,7/30/2019,Feast of the Throne,National Holiday,True
eng,2000006,KTA,8/12/2019,Eid al-Adha,National Holiday,True
eng,2000007,KTA,8/14/2019,Anniversary of the Recovery Oued Ed-Dahab,National Holiday,True
eng,2000008,KTA,8/20/2019,Anniversary of the Revolution of the King and the People,National Holiday,True
eng,2000009,KTA,8/21/2019,Youth Day,National Holiday,True
eng,2000010,KTA,9/1/2019,Hijra New Year,National Holiday,True
eng,2000011,KTA,11/6/2019,Anniversary of the Green March,National Holiday,True
eng,2000012,KTA,11/10/2019,The Prophet Muhammad's Birthday,National Holiday,True
eng,2000013,KTA,11/18/2019,Independence Day,National Holiday,True
eng,2000001,RBT,1/1/2019,New Year's Day,National Holiday,True
eng,2000002,RBT,1/11/2019,Anniversary of the Independence Manifesto,National Holiday,True
eng,2000003,RBT,5/1/2019,Labour Day/May Day,National Holiday,True
eng,2000004,RBT,6/5/2019,Eid al-Fitr,National Holiday,True
eng,2000005,RBT,7/30/2019,Feast of the Throne,National Holiday,True
eng,2000006,RBT,8/12/2019,Eid al-Adha,National Holiday,True
eng,2000007,RBT,8/14/2019,Anniversary of the Recovery Oued Ed-Dahab,National Holiday,True
eng,2000008,RBT,8/20/2019,Anniversary of the Revolution of the King and the People,National Holiday,True
eng,2000010,RBT,9/1/2019,Hijra New Year,National Holiday,True
eng,2000012,RBT,11/10/2019,The Prophet Muhammad's Birthday,National Holiday,True
eng,2000013,RBT,11/18/2019,Independence Day,National Holiday,True
fra,2000001,KTA,1/1/2019,Jour de l’an,Fête nationale,True
fra,2000002,KTA,1/11/2019,Anniversaire du manifeste de l’indépendance,Fête nationale,True
fra,2000003,KTA,5/1/2019,Fête du travail / May Day,Fête nationale,True
fra,2000004,KTA,6/5/2019,Eid al-Fitr,Fête nationale,True
fra,2000005,KTA,7/30/2019,Fête du trône,Fête nationale,True
fra,2000006,KTA,8/12/2019,Aïd al-Adha,Fête nationale,True
fra,2000007,KTA,8/14/2019,Anniversaire de la récupération de Oued Ed-Dahab,Fête nationale,True
fra,2000008,KTA,8/20/2019,Anniversaire de la révolution du roi et le peuple,Fête nationale,True
fra,2000009,KTA,8/21/2019,Journée de la jeunesse,Fête nationale,True
fra,2000010,KTA,9/1/2019,Hégire nouvel an,Fête nationale,True
fra,2000011,KTA,11/6/2019,Anniversaire de la marche verte,Fête nationale,True
fra,2000012,KTA,11/10/2019,Anniversaire de Mohammed,Fête nationale,True
fra,2000013,KTA,11/18/2019,Fête de l’indépendance,Fête nationale,True
fra,2000001,RBT,1/1/2019,Jour de l’an,Fête nationale,True
fra,2000002,RBT,1/11/2019,Anniversaire du manifeste de l’indépendance,Fête nationale,True
fra,2000003,RBT,5/1/2019,Fête du travail / May Day,Fête nationale,True
fra,2000004,RBT,6/5/2019,Eid al-Fitr,Fête nationale,True
fra,2000005,RBT,7/30/2019,Fête du trône,Fête nationale,True
fra,2000006,RBT,8/12/2019,Aïd al-Adha,Fête nationale,True
fra,2000007,RBT,8/14/2019,Anniversaire de la récupération de Oued Ed-Dahab,Fête nationale,True
fra,2000008,RBT,8/20/2019,Anniversaire de la révolution du roi et le peuple,Fête nationale,True
fra,2000010,RBT,9/1/2019,Hégire nouvel an,Fête nationale,True
fra,2000012,RBT,11/10/2019,Anniversaire de Mohammed,Fête nationale,True
fra,2000013,RBT,11/18/2019,Fête de l’indépendance,Fête nationale,True
eng,2000014,KTA,6/22/2019,Saturday - Weekend,Weekend,True
eng,2000015,KTA,6/23/2019,Sunday - Weekend,Weekend,True
eng,2000016,KTA,6/29/2019,Saturday - Weekend,Weekend,True
eng,2000017,KTA,6/30/2019,Sunday - Weekend,Weekend,True
eng,2000018,KTA,7/6/2019,Saturday - Weekend,Weekend,True
eng,2000019,KTA,7/7/2019,Sunday - Weekend,Weekend,True
eng,2000020,KTA,7/13/2019,Saturday - Weekend,Weekend,True
eng,2000021,KTA,7/14/2019,Sunday - Weekend,Weekend,True
eng,2000022,KTA,7/20/2019,Saturday - Weekend,Weekend,True
eng,2000023,KTA,7/21/2019,Sunday - Weekend,Weekend,True
eng,2000024,KTA,7/27/2019,Saturday - Weekend,Weekend,True
eng,2000025,KTA,7/28/2019,Sunday - Weekend,Weekend,True
eng,2000026,KTA,8/3/2019,Saturday - Weekend,Weekend,True
eng,2000027,KTA,8/4/2019,Sunday - Weekend,Weekend,True
eng,2000028,KTA,8/10/2019,Saturday - Weekend,Weekend,True
eng,2000029,KTA,8/11/2019,Sunday - Weekend,Weekend,True
eng,2000030,KTA,8/17/2019,Saturday - Weekend,Weekend,True
eng,2000031,KTA,8/18/2019,Sunday - Weekend,Weekend,True
eng,2000032,KTA,8/24/2019,Saturday - Weekend,Weekend,True
eng,2000033,KTA,8/25/2019,Sunday - Weekend,Weekend,True
eng,2000034,KTA,8/31/2019,Saturday - Weekend,Weekend,True
eng,2000035,KTA,9/1/2019,Sunday - Weekend,Weekend,True
eng,2000036,KTA,9/7/2019,Saturday - Weekend,Weekend,True
eng,2000037,KTA,9/8/2019,Sunday - Weekend,Weekend,True
eng,2000038,KTA,9/14/2019,Saturday - Weekend,Weekend,True
eng,2000039,KTA,9/15/2019,Sunday - Weekend,Weekend,True
eng,2000040,KTA,9/21/2019,Saturday - Weekend,Weekend,True
eng,2000041,KTA,9/22/2019,Sunday - Weekend,Weekend,True
eng,2000042,KTA,9/28/2019,Saturday - Weekend,Weekend,True
eng,2000043,KTA,9/29/2019,Sunday - Weekend,Weekend,True
