lang_code,code,name,descr,rsncat_code,is_active
eng,APM,Age-Photo Mismatch,Mismatch between the Age and Photo,CLR,True
eng,GPM,Gender-Photo Mismatch,Gender-Photo Mismatch between Gender and Photo,CLR,True
eng,IAD,Invalid Address,Invalid Address found,CLR,True
eng,DPG,Duplicate Registration,Duplicate Registration found,CLR,True
eng,OTH,Others,Others,CLR,True
eng,ADM,All the Details are matching,All the Details are matching,MNA,True
eng,ADD,All the Demographic Details are Matching,All the Demographic Details are Matching,MNA,True
eng,OPM,Only the Photograph is Matching,Only the Photograph is Matching,MNA,True
eng,SDM,Some of the Demographic Details are Matching,Some of the Demographic Details are Matching,MNA,True
fra,APM,Décalage de lâge-Photo,Discordance entre lâge et la Photo,CLR,True
fra,GPM,Incompatibilité de sexe-Photo,Sexe-Photo discordance entre le sexe et la Photo,CLR,True
fra,IAD,Adresse non valide,Adresse non valide trouvée,CLR,True
fra,DPG,Enregistrement en double,Double enregistrement trouvé,CLR,True
fra,OTH,Dautres,Dautres,CLR,True
fra,ADM,Tous les détails sont adaptent,Tous les détails sont adaptent,MNA,True
fra,ADD,Tous les détails démographiques sont Matching,Tous les détails démographiques sont Matching,MNA,True
fra,OPM,La photographie est le rapprochement,La photographie est le rapprochement,MNA,True
fra,SDM,Certains détails démographiques sont Matching,Certains détails démographiques sont Matching,MNA,True
