lang_code,regcntr_id,hol_date,hol_name,hol_reason,is_active
eng,10001,9/24/2019,Emergency Holiday,Emergency Holiday,True
eng,10002,9/24/2019,Emergency Holiday,Emergency Holiday,True
eng,10003,9/24/2019,Emergency Holiday,Emergency Holiday,True
eng,10004,9/24/2019,Emergency Holiday,Emergency Holiday,True
eng,10005,9/24/2019,Emergency Holiday,Emergency Holiday,True
eng,10006,9/24/2019,Emergency Holiday,Emergency Holiday,True
eng,10007,9/24/2019,Emergency Holiday,Emergency Holiday,True
eng,10008,9/24/2019,Emergency Holiday,Emergency Holiday,True
eng,10009,9/24/2019,Emergency Holiday,Emergency Holiday,True
eng,10010,9/24/2019,Emergency Holiday,Emergency Holiday,True
eng,10011,9/24/2019,Emergency Holiday,Emergency Holiday,True
eng,10012,9/24/2019,Emergency Holiday,Emergency Holiday,True
eng,10013,9/24/2019,Emergency Holiday,Emergency Holiday,True
eng,10014,9/24/2019,Emergency Holiday,Emergency Holiday,True
eng,10015,9/24/2019,Emergency Holiday,Emergency Holiday,True
eng,10001,9/25/2019,Emergency Holiday,Emergency Holiday,True
eng,10002,9/25/2019,Emergency Holiday,Emergency Holiday,True
eng,10003,9/25/2019,Emergency Holiday,Emergency Holiday,True
eng,10004,9/25/2019,Emergency Holiday,Emergency Holiday,True
eng,10005,9/25/2019,Emergency Holiday,Emergency Holiday,True
eng,10006,9/25/2019,Emergency Holiday,Emergency Holiday,True
eng,10007,9/25/2019,Emergency Holiday,Emergency Holiday,True
eng,10008,9/25/2019,Emergency Holiday,Emergency Holiday,True
eng,10009,9/25/2019,Emergency Holiday,Emergency Holiday,True
eng,10010,9/25/2019,Emergency Holiday,Emergency Holiday,True
eng,10011,9/25/2019,Emergency Holiday,Emergency Holiday,True
eng,10012,9/25/2019,Emergency Holiday,Emergency Holiday,True
eng,10013,9/25/2019,Emergency Holiday,Emergency Holiday,True
eng,10014,9/25/2019,Emergency Holiday,Emergency Holiday,True
eng,10015,9/25/2019,Emergency Holiday,Emergency Holiday,True
