lang_code,id,name,cntrtyp_code,addr_line1,addr_line2,addr_line3,latitude,longitude,location_code,contact_phone,contact_person,number_of_kiosks,working_hours,per_kiosk_process_time,center_start_time,center_end_time,lunch_start_time,lunch_end_time,time_zone,holiday_loc_code,zone_code,is_active
eng,10001,Center A Ben Mansour,REG,P4238,Ben Mansour,MyCountry,34.52117,-6.453275,14022,779517433,John Doe,3,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,RBT,True
fra,10001,Centre A Ben Mansour,REG,P4238,Ben Mansour,Maroc,34.52117,-6.453275,14022,993556086,John Doe,3,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,RBT,True
eng,10002,Rural Municipal Mnasra,REG,Route De Moulay Bousselham,Douar Sbih Menacera,MyCountry,34.360207,-6.550075,14053,753476995,John Smith,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,KTA,True
fra,10002,Commune Rurale Mnasra,REG,Route De Moulay Bousselham,Douar Sbih Menacera,Maroc,34.360207,-6.550075,14053,984996886,John Smith,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,KTA,True
eng,10003,Souk Khemiss Mograne,REG,Route N1,Mograne,MyCountry,34.405692,-6.433368,14023,734239083,Mario Speedwagon,4,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,SAL,True
fra,10003,Souk Khemiss Mograne,REG,la route N1,Mograne,Maroc,34.405692,-6.433368,14023,675470523,Mario Speedwagon,4,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,SAL,True
eng,10004,Center Assam,REG,7 Km Tangier Road,Kenitra,MyCountry,34.287879,-6.516428,14000,937997757,Paige Turner,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,RBT,True
fra,10004,centre assam,REG,km 7 route de Tanger,Kénitra,Maroc,34.287879,-6.516428,14000,852492117,Paige Turner,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,RBT,True
eng,10005,Center Mehdia,REG,Mehdia Road Amria mehdia,Kenitra,Maroc,34.256414,-6.675499,14110,887311749,Walter Melon,1,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,BSN,True
fra,10005,centre mehdia,REG,route de mehdia Amria mehdia,Kénitra,Maroc,34.256414,-6.675499,14110,658302699,Walter Melon,1,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,BSN,True
eng,10006,Center Ouled Oujih,REG,Bloc 1 G1 N113,Kenitra,Maroc,34.262477,-6.618605,14080,915790305,Barb Ackue,5,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,NDR,True
fra,10006,center Ouled Oujih,REG,Bloc 1 G1 N113,Kénitra,Maroc,34.262477,-6.618605,14080,888439793,Barb Ackue,5,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,NDR,True
eng,10007,Center Sidi Taibi,REG,Rabat Road,Sidi Taibi,MyCountry,34.192861,-6.683662,14025,811552880,Monty Carlo,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,STT,True
fra,10007,centre Sidi Taibi,REG,Route de Rabat,Sidi Taibi,Maroc,34.192861,-6.683662,14025,753640112,Monty Carlo,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,STT,True
eng,10008,Center Sidi Allal Tazi,REG,National Road,Alla Tazi,MyCountry,34.522414,-6.320471,14050,695325692,Cliff Hanger,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,SAF,True
fra,10008,centre Sidi Allal Tazi,REG,route nationale,Alla Tazi,Maroc,34.522414,-6.320471,14050,862899075,Cliff Hanger,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,SAF,True
eng,10009,Center Agdal,REG,French Avenue,Rabat,MyCountry,33.998232,-6.845728,10106,745360421,Robin Banks,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,RBT,YSF,True
fra,10009,centre Agdal,REG,avenue de France,Rabat,Maroc,33.998232,-6.845728,10106,676186831,Robin Banks,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,RBT,YSF,True
eng,10010,Center Hassan,REG,Avenue Amir Moulay Abdellah,Rabat,MyCountry,34.017502,-6.834745,10000,766074745,Max Emum,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,RBT,TTA,True
fra,10010,centre Hassan,REG,avenue de Amir Moulay Abdellah,Rabat,Maroc,34.017502,-6.834745,10000,773606891,Max Emum,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,RBT,TTA,True
eng,10011,Center Souissi,REG,Avenue Mohamed VI,Rabat,MyCountry,33.986608,-6.828873,10105,787248921,Minnie Mum,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,RBT,TZT,True
fra,10011,centre Souissi,REG,avenue de Mohammed VI,Rabat,Maroc,33.986608,-6.828873,10105,878691008,Minnie Mum,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,RBT,TZT,True
eng,10012,Center Madinat Al Irfane,REG,Avenue Allal Al Fassi,Rabat,MyCountry,33.978103,-6.867849,10112,838412388,Bill Yerds,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,RBT,SAF,True
fra,10012,centre Madinat Al Irfane,REG,avenue de Allal Al Fassi,Rabat,Maroc,33.978103,-6.867849,10112,719952201,Bill Yerds,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,RBT,SAF,True
eng,10013,Center Hay Riad,REG,Avenue Al Araar,Rabat,MyCountry,33.953931,-6.874735,10104,751913644,Dan Druff,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,RBT,YSF,True
