lang_code,screen_id,role_code,is_permitted,is_active
eng,eodRoot,REGISTRATION_SUPERVISOR,True,True
eng,eodRoot,REGISTRATION_ADMIN,True,True
eng,reRegisterRoot,REGISTRATION_SUPERVISOR,True,True
eng,reRegisterRoot,REGISTRATION_ADMIN,True,True
eng,lostUINRoot,REGISTRATION_OFFICER,True,True
eng,lostUINRoot,REGISTRATION_SUPERVISOR,True,True
eng,lostUINRoot,REGISTRATION_ADMIN,True,True
eng,newRegistrationRoot,REGISTRATION_OFFICER,True,True
eng,newRegistrationRoot,REGISTRATION_SUPERVISOR,True,True
eng,newRegistrationRoot,REGISTRATION_ADMIN,True,True
eng,reportRoot,REGISTRATION_SUPERVISOR,True,True
eng,reportRoot,REGISTRATION_ADMIN,True,True
eng,uinUpdateRoot,REGISTRATION_OFFICER,True,True
eng,uinUpdateRoot,REGISTRATION_SUPERVISOR,True,True
eng,uinUpdateRoot,REGISTRATION_ADMIN,True,True
eng,uploadPacketRoot,REGISTRATION_OFFICER,True,True
eng,uploadPacketRoot,REGISTRATION_SUPERVISOR,True,True
eng,uploadPacketRoot,REGISTRATION_ADMIN,True,True
