lang_code,id,name,api_name,parent_syncjob_id,sync_freq,lock_duration,is_active
eng,MDS_J00001,Master Data Sync,masterSyncJob,,0 0 11 * * ?,,True
eng,PDS_J00003,Pre-registration Data Sync,preRegistrationDataSyncJob,,0 0 11 * * ?,,True
eng,POS_J00008,Policy Sync,keyPolicySyncJob,,0 0 11 * * ?,,True
eng,RCS_J00005,Registration Client Config Sync,synchConfigDataJob,,0 0 11 * * ?,,True
eng,RPS_J00006,Registration Packet Status Reader,packetSyncStatusJob,,0 0 11 * * ?,,True
eng,URS_J00007,User Detail/Role Setup Sync,userDetailServiceJob,MDS_J00001,0 0 11 * * ?,,True
eng,DEL_J00013,Pre Registration Packet Deletion Job,preRegistrationPacketDeletionJob,,0 0 11 * * ?,,True
eng,RDJ_J00010,Registration Packet Deletion Job,registrationDeletionJob,,0 0 11 * * ?,,True
eng,ADJ_J00012,Audit Log Deletion Job,deleteAuditLogsJob,,0 0 11 * * ?,,True
eng,RSJ_J00014,Registration Packet Sync,registrationPacketSyncJob,,0 0 11 * * ?,,True
eng,PVS_J00015,Registration Packet Virus Scan,registrationPacketVirusScanJob,,0 0 11 * * ?,,True
eng,PKS_J00016,Public key Sync service,publicKeySyncJob,,0 0 11 * * ?,,True
