lang_code,id,name,descr,file_format_code,model,file_txt,module_id,module_name,template_typ_code,is_active
eng,1101,Template for authorization content,Template for authorization content,txt,,"Dear $name
Your Authentication of $idvidType $idvid using $authType on $date at $time Hrs $status at a device deployed by MOSIP Services",10004,ID Authentication,auth-email-content,True
eng,1102,Template for authorization subject,Template for authorization subject,txt,,$idvidType $idvid Authentication $status,10004,ID Authentication,auth-email-subject,True
eng,1103,Template for authorization SMS,Template for authorization SMS,txt,,Your Authentication of $idvidType $idvid using $authType on $date at $time Hrs $status at a device deployed by MOSIP Services.,10004,ID Authentication,auth-sms,True
fra,1101,Modèle de contenu dautorisation,Modèle de contenu dautorisation,txt,velocity,"Cher $name,
Votre authentification $idvidType $idvid utilisant $authType le $date à $time Hrs $status sur un périphérique déployé par ""MOSIP Services""",10004,Authentification ID,auth-email-content,True
fra,1102,Modèle pour sujet dautorisation,Modèle pour sujet dautorisation,txt,velocity,$idvidType $idvid: $status dauthentification,10004,Authentification ID,auth-email-subject,True
fra,1103,Modèle de SMS dautorisation,Modèle de SMS dautorisation,txt,velocity,"Votre authentification $idvidType $idvid utilisant $authType le $date à $time Hrs $status sur un périphérique déployé par ""MOSIP Services"".",10004,Authentification ID,auth-sms,True
eng,1107,Template for duplicate UIN Email,Template for duplicate UIN Email,txt,velocity,"Dear $!name_eng,

Your request for UIN for Registration ID: $!RID has failed because a duplicate UIN has been found against your details. Please visit your nearest Registration office or visit https://mosip.io/grievances

Thank You",10003,Registration Processor,RPR_DUP_UIN_EMAIL,True
eng,1108,Template for duplicate UIN SMS,Template for duplicate UIN SMS,txt,velocity,"Dear $!name_eng,

Your request for UIN for Registration ID: $!RID has failed because a duplicate UIN has been found against your details. Please visit your nearest Registration office or visit https://mosip.io/grievances",10003,Registration Processor,RPR_DUP_UIN_SMS,True
eng,1109,Template for Technical Issue Email,Template for Technical Issue Email,txt,velocity,"Dear $!name_eng,

Your request for UIN for Registration ID: $!RID has failed because of a technical issue. Please visit your nearest Registration office or visit https://mosip.io/grievances

Thank You",10003,Registration Processor,RPR_TEC_ISSUE_EMAIL,True
eng,1110,Template for Technical Issue SMS,Template for Technical Issue SMS,txt,velocity,"Dear $!name_eng,

Your request for UIN for Registration ID: $!RID has failed because of a technical issue. Please visit your nearest Registration office or visit https://mosip.io/grievances",10003,Registration Processor,RPR_TEC_ISSUE_SMS,True
eng,1111,Template for UIN generation Email,Template for UIN generation Email,txt,velocity,"Dear $name_eng,

Your UIN for Registration ID: $!RID has been successfully generated and will reach soon at your postal address.

Thank You",10003,Registration Processor,RPR_UIN_GEN_EMAIL,True
eng,1112,Template for UIN generation SMS,Template for UIN generation SMS,txt,velocity,"Dear $name_eng,

Your UIN for Registration ID: $!RID has been successfully generated and will reach soon at your postal address.",10003,Registration Processor,RPR_UIN_GEN_SMS,True
eng,1113,Template for update details Email,Template for update details Email,txt,velocity,"Dear $!name_eng,

Your UIN details for the Registration ID: $!RID have been updated and a physical copy of your UIN card will reach you soon at your postal address.

Thank You",10003,Registration Processor,RPR_UIN_UPD_EMAIL,True
eng,1114,Template for update Details SMS,Template for update Details SMS,txt,velocity,"Dear $!name_eng,

Your UIN details for the Registration ID: $!RID have been updated and a physical copy of your UIN card will reach you soon at your postal address.",10003,Registration Processor,RPR_UIN_UPD_SMS,True
fra,1107,Modèle de courrier didentité en double,Modèle de courrier didentité en double,txt,velocity,"Cher $!name_fra,

Votre demande d'UIN pour l'ID d'enregistrement: $!RID a échoué car un duplicata d'UIN a été trouvé par rapport à vos informations. Veuillez vous rendre au bureau d’enregistrement le plus proche ou sur https://mosip.io/grievances

Merci",10003,Processeur dinscription,RPR_DUP_UIN_EMAIL,True
fra,1108,Modèle de message didentité en double,Modèle de message didentité en double,txt,velocity,"Cher $!name_fra,

Votre demande d'UIN pour l'ID d'enregistrement: $!RID a échoué car un duplicata d'UIN a été trouvé par rapport à vos informations. Veuillez vous rendre au bureau d’enregistrement le plus proche ou sur https://mosip.io/grievances",10003,Processeur dinscription,RPR_DUP_UIN_SMS,True
