Property file name,key
kernel-default.properties,subscriptions-delay-on-startup
registration-processor-default.properties,packetmanager.provider.uingenerator.province
registration-processor-default.properties,packetmanager.provider.uingenerator.czone
registration-processor-default.properties,packetmanager.provider.uingenerator.dateOfBirth
registration-processor-default.properties,packetmanager.provider.uingenerator.middleName
registration-processor-default.properties,packetmanager.provider.uingenerator.email
registration-processor-default.properties,packetmanager.provider.uingenerator.proofOfRelationship
registration-processor-default.properties,packetmanager.provider.uingenerator.cpostalCode
registration-processor-default.properties,packetmanager.provider.uingenerator.firstName
registration-processor-default.properties,packetmanager.provider.uingenerator.postalCode
registration-processor-default.properties,packetmanager.provider.uingenerator.proofOfException
registration-processor-default.properties,packetmanager.provider.uingenerator.addressLine2
registration-processor-default.properties,packetmanager.provider.uingenerator.individualBiometrics[Finger]
registration-processor-default.properties,packetmanager.provider.uingenerator.addressLine1
registration-processor-default.properties,packetmanager.provider.uingenerator.addressLine4
registration-processor-default.properties,packetmanager.provider.uingenerator.caddressLine1
registration-processor-default.properties,packetmanager.provider.uingenerator.cregion
registration-processor-default.properties,packetmanager.provider.uingenerator.residenceStatus
registration-processor-default.properties,packetmanager.provider.uingenerator.maritalStatus
registration-processor-default.properties,packetmanager.provider.uingenerator.IDSchemaVersion
registration-processor-default.properties,packetmanager.provider.uingenerator.ccity
registration-processor-default.properties,packetmanager.provider.uingenerator.modeOfClaim
registration-processor-default.properties,packetmanager.provider.uingenerator.proofOfDateOfBirth
registration-processor-default.properties,packetmanager.provider.uingenerator.caddressLine3
registration-processor-default.properties,packetmanager.provider.uingenerator.referenceIdentityNumber
registration-processor-default.properties,packetmanager.provider.uingenerator.individualBiometrics[Iris]
registration-processor-default.properties,packetmanager.provider.uingenerator.region
registration-processor-default.properties,packetmanager.provider.uingenerator.lastName
registration-processor-default.properties,packetmanager.provider.uingenerator.proofOfIdentity
registration-processor-default.properties,packetmanager.provider.uingenerator.UIN
registration-processor-default.properties,packetmanager.provider.uingenerator.zone
registration-processor-default.properties,packetmanager.provider.uingenerator.gender
registration-processor-default.properties,packetmanager.provider.uingenerator.phone
registration-processor-default.properties,packetmanager.provider.uingenerator.proofOfAddress
registration-processor-default.properties,packetmanager.provider.uingenerator.addressLine3
registration-processor-default.properties,packetmanager.provider.uingenerator.bloodType
registration-processor-default.properties,packetmanager.provider.uingenerator.city
registration-processor-default.properties,packetmanager.provider.uingenerator.individualBiometrics[Face]
registration-processor-default.properties,packetmanager.provider.uingenerator.caddressLine2
registration-processor-default.properties,packetmanager.provider.uingenerator.caddressLine4
registration-processor-default.properties,packetmanager.provider.uingenerator.cprovince
registration-processor-default.properties,packetmanager.provider.uingenerator.suffix
registration-processor-default.properties,packetmanager.provider.uingenerator.registrationType
registration-processor-default.properties,packetmanager.provider.uingenerator.parentOrGuardianUIN
registration-processor-default.properties,packetmanager.provider.uingenerator.parentOrGuardianRID
registration-processor-default.properties,registration.processor.reprocess.elapse.time
registration-processor-default.properties,registration.processor.reprocess.hours
registration-processor-default.properties,mosip.registration.processor.database.port
registration-processor-default.properties,registration.processor.LANDING_ZONE
registration-processor-default.properties,mosip.regproc.packet.classifier.tagging.agegroup.ranges
registration-processor-default.properties,mosip.kernel.virus-scanner.host
registration-processor-default.properties,registration.processor.reprocess.minutes:
registration-processor-default.properties,mosip.kernel.virus-scanner.port:
registration-processor-default.properties,registration.processor.queue.username:
registration-default.properties,mosip.registration.num_of_fingerprint_retries
registration-default.properties,mosip.registration.num_of_iris_retries
registration-default.properties,mosip.registration.num_of_face_retries
