Property file name,Key,Property Category
resident-default.properties,MASTER,URL
resident-default.properties,IDREPOGETIDBYUIN,URL
resident-default.properties,SMSNOTIFIER,URL
resident-default.properties,GETUINBYVID,URL
resident-default.properties,DIGITAL_CARD_STATUS_URL,URL
resident-default.properties,EMAILNOTIFIER,URL
resident-default.properties,ENCRYPTURL,URL
resident-default.properties,CREATEVID,URL
resident-default.properties,token.request.secretKey,Key
resident-default.properties,mosip.kernel.masterdata.audit-url,URL
resident-default.properties,IDREPOSITORY,URL
resident-default.properties,INTERNALAUTH,URL
resident-default.properties,IMMEDIATE_CHILDREN_BY_LOCATIONCODE_AND_LANGCODE_URL,URL
resident-default.properties,mosip.resident.vid-policy-url,URL
resident-default.properties,mosip.iam.module.redirecturi,URL
resident-default.properties,REGISTRATION_CENTER_BY_LOCATION_TYPE_AND_SEARCH_TEXT_PAGINATED_URL,URL
resident-default.properties,mosip.pms.pmp.partner.rest.uri,URL
resident-default.properties,APPLICANT_VALID_DOCUMENT_URL,URL
resident-default.properties,resident.ui.track-service-request-url,URL
resident-default.properties,PDFSIGN,URL
resident-default.properties,LOCATION_HIERARCHY_LEVEL_BY_LANGCODE_URL,URL
resident-default.properties,mosip.iam.userinfo_endpoint,URL
resident-default.properties,resident-data-format-mvel-file-url,URL
resident-default.properties,resident.websub.callback.authtype-status.relative.url,URL
resident-default.properties,REGISTRATION_CENTER_FOR_LOCATION_CODE_URL,URL
resident-default.properties,mosip.keymanager.jwt.sign.end.point,URL
resident-default.properties,RESIDENT_REQ_CREDENTIAL_URL,URL
resident-default.properties,IDREPO_IDENTITY_UPDATE_COUNT,URL
resident-default.properties,auth.server.admin.oidc.certs.url,URL
resident-default.properties,GET_ORDER_STATUS_URL,URL
resident-default.properties,mosip.iam.token_endpoint,URL
resident-default.properties,WORKING_DAYS_BY_REGISTRATION_ID,URL
resident-default.properties,GET_RID_STATUS,URL
resident-default.properties,IDREPO_IDENTITY_URL,URL
resident-default.properties,mosip-prereg-ui-url,URL
resident-default.properties,object.store.s3.url,URL
resident-default.properties,RETRIEVE_VIDS,URL
resident-default.properties,DOCUMENT_TYPE_BY_DOCUMENT_CATEGORY_AND_LANG_CODE,URL
resident-default.properties,VALID_DOCUMENT_BY_LANGCODE_URL,URL
resident-default.properties,mosip-prereg-host,URL
resident-default.properties,TEMPLATES_BY_LANGCODE_AND_TEMPLATETYPECODE_URL,URL
resident-default.properties,mosip.iam.authorization_endpoint,URL
resident-default.properties,mosip.iam.certs_endpoint,URL
resident-default.properties,resident-ui-schema-file-url,URL
resident-default.properties,identity-mapping-file-source,URL
resident-default.properties,resident.websub.callback.authtype-status.url,URL
resident-default.properties,COORDINATE_SPECIFIC_REGISTRATION_CENTERS_URL,URL
resident-default.properties,resident.websub.callback.authTransaction-status.relative.url,URL
resident-default.properties,mosip.resident.service.mock.pdf.url,URL
resident-default.properties,auth.server.admin.validate.url,URL
resident-default.properties,mosip.resident.keymanager.encrypt-uri,URL
resident-default.properties,identity-mapping-file-url,URL
resident-default.properties,LOCATION_INFO_BY_LOCCODE_AND_LANGCODE_URL,URL
resident-default.properties,GET_RID_BY_INDIVIDUAL_ID,URL
resident-default.properties,object.store.s3.secretkey,Key
resident-default.properties,mosip.resident.download-card.url,URL
resident-default.properties,PARTNER_DETAILS_NEW_URL,URL
resident-default.properties,resident.websub.authtype-status.secret,Key
resident-default.properties,otp-generate.rest.uri,URL
resident-default.properties,LATEST_ID_SCHEMA_URL ,URL
resident-default.properties,mosip.resident.keymanager.decrypt-uri,URL
resident-default.properties,resident.websub.authTransaction-status.secret,Key
resident-default.properties,mosip.resident.captcha.secretkey,Key
resident-default.properties,GENDER_TYPE_BY_LANGCODE,URL
resident-default.properties,mosip.resident.grievance.url,URL
resident-default.properties,mosip.iam.base.url,URL
resident-default.properties,auth.allowed.urls,URL
resident-default.properties,resident.websub.callback.authTransaction-status.url,URL
resident-default.properties,mosip.resident.captcha.resourse.url,URL
resident-default.properties,auth.server.admin.oidc.userinfo.url,URL
resident-default.properties,object.store.s3.accesskey,Key
