Property file name,Key,Old Value,Latest Value,Property Category,Configuration Action
application-default.properties,packetmanager.default.priority,"source:REGISTRATION_CLIENT\/process:BIOMETRIC_CORRECTION|NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT,source:OPENCRVS\/process:OPENCRVS_NEW","source:REGISTRATION_CLIENT\/process:BIOMETRIC_CORRECTION|NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT,source:OPENCRVS\/process:OPENCRVS_NEW,source:CRVS1\/process:CRVS_NEW|CRVS_DEATH",N/A,update-if-old-value-takes-priority
esignet-default.properties,mosip.esignet.ui.wallet.config,"{{'wallet.name': 'Inji Mobile App', 'wallet.logo-url': 'inji_logo.png', 'wallet.download-uri': '#', \","{{'wallet.name': 'walletName', 'wallet.logo-url': '/images/qr_code.png', 'wallet.download-uri': '#', \",N/A,update-if-old-value-takes-priority
id-authentication-default.properties,ida-zero-knowledge-unencrypted-credential-attributes,preferredLang,,N/A,update-if-old-value-takes-priority
id-authentication-default.properties,ida-default-identity-filter-attributes,"phone,fullName,dateOfBirth,email,preferredLang","phone,fullName,dateOfBirth,email",N/A,update-if-old-value-takes-priority
id-repository-default.properties,credentialType.formatter.QRCODE,QrCodeProvider,VerCredProvider,N/A,update-if-old-value-takes-priority
id-repository-default.properties,credentialType.formatter.REPRINT,QrCodeProvider,VerCredProvider,N/A,update-if-old-value-takes-priority
id-repository-default.properties,mosip.identity.fieldid.handle-postfix.mapping,{'phone':'@phone'},{:},N/A,update-if-old-value-takes-priority
id-repository-default.properties,mosip.mask.function.identityAttributes,convertToMaskDataFormat,convertToMaskData,N/A,update-if-old-value-takes-priority
id-repository-default.properties,credentialType.formatter.EUIN,QrCodeProvider,VerCredProvider,N/A,update-if-old-value-takes-priority
kernel-default.properties,mosip.kernel.masterdata.name.validate.regex,[^a-z],[^a-zA-Z\\u0600-\\u06FF\\u0B80-\\u0BFF\\u0C80-\\u0CFF\\u0900-\\u097F],N/A,update-if-old-value-takes-priority
kernel-default.properties,mosip.kernel.masterdata.code.validate.regex,[^a-z0-9],[^a-z0-9\u0600-\u06FF],N/A,update-if-old-value-takes-priority
partner-management-default.properties,mosip.role.pms.postpoliciesgroupfiltervalues,"PARTNER_ADMIN,PARTNER,AUTH_PARTNER,CREDENTIAL_PARTNER,POLICYMANAGER,PARTNER","PARTNER_ADMIN,PARTNER,AUTH_PARTNER,CREDENTIAL_PARTNER,POLICYMANAGER,PARTNER,ABIS_PARTNER,FTM_PROVIDER,ONLINE_VERIFICATION_PARTNER,MANUAL_ADJUDICATION",N/A,update-if-old-value-takes-priority
partner-management-default.properties,mosip.role.pms.postpartnersfiltervalues,"PARTNER,PMS_USER,AUTH_PARTNER,DEVICE_PROVIDER,FTM_PROVIDER,CREDENTIAL_PARTNER,PARTNER_ADMIN,ONLINE_VERIFICATION_PARTNER","PARTNER,PMS_USER,AUTH_PARTNER,DEVICE_PROVIDER,FTM_PROVIDER,CREDENTIAL_PARTNER,PARTNER_ADMIN,ONLINE_VERIFICATION_PARTNER,ABIS_PARTNER",N/A,update-if-old-value-takes-priority
partner-management-default.properties,mosip.role.pms.postpartnersapikeyrequestfiltervalues,"PARTNER,PARTNER_ADMIN,AUTH_PARTNER,CREDENTIAL_PARTNER,ONLINE_VERIFICATION_PARTNER","PARTNER,PARTNER_ADMIN,AUTH_PARTNER,CREDENTIAL_PARTNER,ONLINE_VERIFICATION_PARTNER,ABIS_PARTNER",N/A,update-if-old-value-takes-priority
pre-registration-default.properties,mosip.preregistration.captcha.resourse.url,http://prereg-captcha.prereg/preregistration/v1/captcha/validatecaptcha,https://${mosip.api.internal.host}/v1/captcha/validatecaptcha,N/A,update-if-old-value-takes-priority
registration-processor-default.properties,mosip.regproc.securezone.notification.eventbus.kafka.max.poll.records,100,5,N/A,update-if-old-value-takes-priority
registration-processor-default.properties,mosip.regproc.cmd-validator.device-validation.processes,"NEW,UPDATE,LOST,BIOMETRIC_CORRECTION","NEW,UPDATE,LOST,BIOMETRIC_CORRECTION,CRVS_NEW,CRVS_DEATH",N/A,update-if-old-value-takes-priority
registration-processor-default.properties,mosip.registration.processor.credential.conditional.no-match-partner-ids,printPartner,"printPartner,digitalCardInsurancePartner",N/A,update-if-old-value-takes-priority
registration-processor-default.properties,mosip.registration.processor.credential.default.partner-ids,"digitalcardPartner,opencrvsPartner","digitalcardPartner,opencrvsPartner,digitalCardInsurancePartner",N/A,update-if-old-value-takes-priority
registration-processor-default.properties,mosip.regproc.cmd-validator.machine-validation.processes,"NEW,UPDATE,LOST,BIOMETRIC_CORRECTION","NEW,UPDATE,LOST,BIOMETRIC_CORRECTION,CRVS_NEW,CRVS_DEATH",N/A,update-if-old-value-takes-priority
