property_file,property,value,classification,section,comment
kernel-default.properties,mosip.kernel.sms.enabled,FALSE,1,4,inherited value
kernel-default.properties,mosip.kernel.sms.country.code,91,1,4,inherited value
kernel-default.properties,mosip.kernel.notification.email.from,info@mosip.io,1,4,inherited value
kernel-default.properties,spring.mail.port,587,1,4,inherited value
kernel-default.properties,spring.mail.properties.mail.transport.protocol,smtp,1,4,inherited value
kernel-default.properties,spring.mail.properties.mail.smtp.starttls.required,TRUE,1,4,inherited value
kernel-default.properties,spring.mail.properties.mail.smtp.starttls.enable,TRUE,1,4,inherited value
kernel-default.properties,spring.mail.properties.mail.smtp.auth,TRUE,1,4,inherited value
kernel-default.properties,spring.servlet.multipart.enabled,TRUE,1,4,inherited value
kernel-default.properties,spring.servlet.multipart.max-file-size,5MB,1,4,inherited value
kernel-default.properties,mosip.kernel.vid.min-unused-threshold,100000,1,4,inherited value
kernel-default.properties,mosip.kernel.vid.vids-to-generate,200000,1,4,inherited value
kernel-default.properties,mosip.kernel.vid.time-to-release-after-expir,5,1,4,inherited value
kernel-default.properties,mosip.kernel.vid.pool-population-timeout,10000000,1,4,inherited value
kernel-default.properties,kernel.vid.revoke-scheduler-seconds,0,1,4,inherited value
kernel-default.properties,kernel.vid.revoke-scheduler-minutes,0,1,4,inherited value
kernel-default.properties,kernel.vid.revoke-scheduler-hours,23,1,4,inherited value
kernel-default.properties,kernel.vid.revoke-scheduler-days_of_month,*,1,4,inherited value
kernel-default.properties,kernel.vid.revoke-scheduler-months,*,1,4,inherited value
kernel-default.properties,kernel.vid.revoke-scheduler-days_of_week,*,1,4,inherited value
kernel-default.properties,kernel.vid.isolator-scheduler-seconds,0,,,inherited value
kernel-default.properties,kernel.vid.isolator-scheduler-minutes,0,1,4,inherited value
kernel-default.properties,kernel.vid.isolator-scheduler-hours,*,1,4,inherited value
kernel-default.properties,kernel.vid.isolator-scheduler-days_of_month,*,1,4,inherited value
kernel-default.properties,kernel.vid.isolator-scheduler-months,*,1,4,inherited value
kernel-default.properties,kernel.vid.isolator-scheduler-days_of_week,*,1,4,inherited value
kernel-default.properties,mosip.kernel.prid.min-unused-threshold,1000,1,4,inherited value
kernel-default.properties,mosip.kernel.prid.prids-to-generate,2000,1,4,inherited value
kernel-default.properties,mosip.kernel.prid.pool-population-timeout,10000000,1,4,inherited value
kernel-default.properties,kernel.prid.revoke-scheduler-seconds,23,1,4,inherited value
kernel-default.properties,mosip.kernel.prid.sequence-limit,3,1,4,inherited value
kernel-default.properties,kernel.prid.revoke-scheduler-minutes,0,1,4,inherited value
kernel-default.properties,kernel.prid.revoke-scheduler-hours,0,1,4,inherited value
kernel-default.properties,kernel.prid.revoke-scheduler-days_of_month,*,1,4,inherited value
kernel-default.properties,kernel.prid.revoke-scheduler-months,*,1,4,inherited value
kernel-default.properties,kernel.prid.revoke-scheduler-days_of_week,*,1,4,inherited value
kernel-default.properties,javax.persistence.jdbc.driver,org.postgresql.Driver,1,4,inherited value
kernel-default.properties,hibernate.dialect,rg.hibernate.dialect.PostgreSQL95Dialect,1,4,inherited value
kernel-default.properties,hibernate.jdbc.lob.non_contextual_creation,TRUE,1,4,inherited value
kernel-default.properties,hibernate.hbm2ddl.auto,none,1,4,inherited value
kernel-default.properties,hibernate.show_sql,FALSE,1,4,inherited value
kernel-default.properties,hibernate.format_sql,FALSE,1,4,inherited value
kernel-default.properties,hibernate.connection.charSet,utf8,1,4,inherited value
kernel-default.properties,hibernate.cache.use_second_level_cache,FALSE,1,4,inherited value
kernel-default.properties,hibernate.cache.use_query_cache,FALSE,1,4,inherited value
kernel-default.properties,hibernate.cache.use_structured_entries,FALSE,1,4,inherited value
kernel-default.properties,hibernate.generate_statistics,FALSE,1,4,inherited value
kernel-default.properties,logging.level.org.hibernate.SQL,ERROR,1,4,inherited value
kernel-default.properties,logging.level.org.hibernate.type,ERROR,1,4,inherited value
kernel-default.properties,hibernate.current_session_context_class,org.springframework.orm.hibernate5.SpringSessionContext,1,4,inherited value
kernel-default.properties,mosip.iam.impl.basepackage,io.mosip.kernel.auth.defaultimpl,1,4,inherited value
kernel-default.properties,mosip.auth.adapter.impl.basepackage,io.mosip.kernel.auth.defaultadapter,1,4,inherited value
kernel-default.properties,master.search.maximum.rows,50,1,4,inherited value
kernel-default.properties,mosip.level,2,1,4,inherited value
kernel-default.properties,kernel.uin.transfer-scheduler-seconds,0,1,4,inherited value
kernel-default.properties,kernel.uin.transfer-scheduler-minutes,48,1,4,inherited value
kernel-default.properties,kernel.uin.transfer-scheduler-hours,17,1,4,inherited value
kernel-default.properties,kernel.uin.transfer-scheduler-days_of_month,*,1,4,inherited value
kernel-default.properties,kernel.uin.transfer-scheduler-months,*,1,4,inherited value
kernel-default.properties,kernel.uin.transfer-scheduler-days_of_week,*,1,4,inherited value
kernel-default.properties,mosip.kernel.auth.proxy-otp-value,111111,1,4,inherited value
kernel-default.properties,mosip.security.csrf-enable,FALSE,1,4,inherited value
kernel-default.properties,mosip.security.cors-enable,FALSE,1,4,inherited value
kernel-default.properties,mosip.security.origins,localhost:8080,1,4,inherited value
kernel-default.properties,mosip.security.secure-cookie,FALSE,1,4,inherited value
kernel-default.properties,subscriptions-delay-on-startup,120000,1,1,inherited value
registration-processor-default.properties,mosip.regproc.common.before-cbeff-others-attibute.reg-client-versions,"1.1.3,1.1.4,1.1.5,1.1.5.5,1.1.5.6",2,3,Country should set previous regclient versions used on the field for backward compatibiliy
registration-processor-default.properties,packetmanager.provider.uingenerator.province,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.czone,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.dateOfBirth,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.middleName,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.email,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.proofOfRelationship,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.cpostalCode,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.firstName,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
