Old Property File,Latest Property File,Key,Old Value,Latest Value
admin-default.properties,admin-default.properties,mosip.role.admin.getgeneratecsrcertificateapplicationidreferenceid,KEY_MAKER,"GLOBAL_ADMIN,ZONAL_ADMIN,KEY_MAKER"
admin-default.properties,admin-default.properties,mosip.kernel.database.hostname,postgres-postgresql.postgres,${mosip.database.hostname.override:postgres-postgresql.postgres}
admin-default.properties,admin-default.properties,mosip.role.admin.postgeneratecsr,KEY_MAKER,"GLOBAL_ADMIN,ZONAL_ADMIN,KEY_MAKER"
admin-default.properties,admin-default.properties,mosip.role.admin.postuploadotherdomaincertificate,KEY_MAKER,"GLOBAL_ADMIN,ZONAL_ADMIN,KEY_MAKER"
admin-default.properties,admin-default.properties,mosip.role.admin.postuploadcertificate,KEY_MAKER,"GLOBAL_ADMIN,ZONAL_ADMIN,KEY_MAKER"
admin-default.properties,admin-default.properties,mosip.kernel.database.port,5432,${mosip.database.port.override:5432}
admin-default.properties,admin-default.properties,hibernate.dialect,org.hibernate.dialect.PostgreSQL95Dialect,org.hibernate.dialect.PostgreSQLDialect
application-default.properties,application-default.properties,mosip.kernel.crypto.symmetric-algorithm-name,AES/GCM/PKCS5Padding,AES/GCM/NoPadding
application-default.properties,application-default.properties,mosip.kernel.uin.min-unused-threshold,200000,${mosip.kernel.uin.min.unused.threshold.override:200000}
application-default.properties,application-default.properties,packetmanager.packet.signature.disable-verification,true,false
application-default.properties,application-default.properties,packetmanager.default.priority,"source:REGISTRATION_CLIENT\/process:BIOMETRIC_CORRECTION|NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT,source:OPENCRVS\/process:OPENCRVS_NEW","source:REGISTRATION_CLIENT\/process:BIOMETRIC_CORRECTION|NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT,source:OPENCRVS\/process:OPENCRVS_NEW,source:CRVS1\/process:CRVS_NEW|CRVS_DEATH"
data-share-default.properties,data-share-default.properties,spring.servlet.multipart.max-file-size,4MB,5MB
data-share-default.properties,data-share-default.properties,auth.server.admin.allowed.audience,"mosip-partner-client,mosip-creser-client,mpartner-default-auth,mosip-regproc-client,mosip-reg-client,mosip-syncdata-client,mpartner-default-print,mosip-resident-client,opencrvs-partner,mpartner-default-digitalcard,mosip-admin-client,mosip-pms-client","mosip-partner-client,mosip-creser-client,mpartner-default-auth,mosip-regproc-client,mosip-reg-client,mosip-syncdata-client,mpartner-default-print,mosip-resident-client,opencrvs-partner,mpartner-default-digitalcard,mosip-admin-client,mosip-pms-client,mosip-abis-client"
digital-card-default.properties,digital-card-default.properties,mosip.digitalcard.database.hostname,postgres-postgresql.postgres,${mosip.database.hostname.override:postgres-postgresql.postgres}
digital-card-default.properties,digital-card-default.properties,mosip.digitalcard.database.port,5432,${mosip.database.port.override:5432}
digital-card-default.properties,digital-card-default.properties,hibernate.dialect,org.hibernate.dialect.PostgreSQL95Dialect,org.hibernate.dialect.PostgreSQLDialect
esignet-default.properties,esignet-default.properties,mosip.esignet.cache.names,"clientdetails,preauth,authenticated,authcodegenerated,userinfo,linkcodegenerated,linked,linkedcode,linkedauth,consented,authtokens,bindingtransaction,vcissuance","clientdetails,preauth,authenticated,authcodegenerated,userinfo,linkcodegenerated,linked,linkedcode,linkedauth,consented,authtokens,bindingtransaction,vcissuance,apiRateLimit,blocked"
esignet-default.properties,esignet-default.properties,mosip.esignet.captcha.required.auth-factors,{'PWD'},{}
esignet-default.properties,esignet-default.properties,mosip.esignet.database.hostname,postgres-postgresql.postgres,${mosip.database.hostname.override:postgres-postgresql.postgres}
esignet-default.properties,esignet-default.properties,mosip.esignet.database.port,5432,${mosip.database.port.override:5432}
esignet-default.properties,esignet-default.properties,mosip.esignet.ui.wallet.config,"{{'wallet.name': 'Inji Mobile App', 'wallet.logo-url': 'inji_logo.png', 'wallet.download-uri': '#', \","{{'wallet.name': 'walletName', 'wallet.logo-url': '/images/qr_code.png', 'wallet.download-uri': '#', \"
hotlist-default.properties,hotlist-default.properties,mosip.hotlist.db.port,5432,${mosip.database.port.override:5432}
hotlist-default.properties,hotlist-default.properties,mosip.hotlist.db.url,postgres-postgresql.postgres,${mosip.database.hostname.override:postgres-postgresql.postgres}
hotlist-default.properties,hotlist-default.properties,mosip.hotlist.db.dialect,org.hibernate.dialect.PostgreSQL92Dialect,org.hibernate.dialect.PostgreSQLDialect
id-authentication-default.properties,id-authentication-default.properties,mosip.ida.database.hostname,postgres-postgresql.postgres,${mosip.database.hostname.override:postgres-postgresql.postgres}
id-authentication-default.properties,id-authentication-default.properties,hibernate.dialect,org.hibernate.dialect.PostgreSQL95Dialect,org.hibernate.dialect.PostgreSQLDialect
id-authentication-default.properties,id-authentication-default.properties,mosip.ida.database.port,5432,${mosip.database.port.override:5432}
id-authentication-default.properties,id-authentication-default.properties,ida-zero-knowledge-unencrypted-credential-attributes,preferredLang,
id-authentication-default.properties,id-authentication-default.properties,ida-default-identity-filter-attributes,"phone,fullName,dateOfBirth,email,preferredLang","phone,fullName,dateOfBirth,email"
id-repository-default.properties,id-repository-default.properties,mosip.role.idrepo.identity.deletedraftdiscardregistrationId,"REGISTRATION_PROCESSOR,ID_REPOSITORY","REGISTRATION_PROCESSOR,ID_REPOSITORY,RESIDENT"
id-repository-default.properties,id-repository-default.properties,mosip.idrepo.db.url,postgres-postgresql.postgres,${mosip.database.hostname.override:postgres-postgresql.postgres}
id-repository-default.properties,id-repository-default.properties,auth.server.admin.allowed.audience,"mosip-regproc-client,mosip-prereg-client,mosip-admin-client,mosip-crereq-client,mosip-creser-client,mosip-datsha-client,mosip-ida-client,mosip-resident-client,mosip-reg-client,mpartner-default-print,mosip-idrepo-client,mpartner-default-auth,mosip-syncdata-client,mosip-masterdata-client,mosip-idrepo-client,mosip-pms-client,mosip-hotlist-client,opencrvs-partner,mpartner-default-digitalcard,mpartner-default-mobile,mosip-signup-client","${auth.server.admin.allowed.audience.idrepo.override:mosip-regproc-client,mosip-prereg-client,mosip-admin-client,mosip-crereq-client,mosip-creser-client,mosip-datsha-client,mosip-ida-client,mosip-resident-client,mosip-reg-client,mpartner-default-print,mosip-idrepo-client,mpartner-default-auth,mosip-syncdata-client,mosip-masterdata-client,mosip-idrepo-client,mosip-pms-client,mosip-hotlist-client,opencrvs-partner,mpartner-default-digitalcard,mpartner-default-mobile,mosip-signup-client}"
id-repository-default.properties,id-repository-default.properties,credentialType.formatter.QRCODE,QrCodeProvider,VerCredProvider
id-repository-default.properties,id-repository-default.properties,credentialType.formatter.REPRINT,QrCodeProvider,VerCredProvider
id-repository-default.properties,id-repository-default.properties,credential.batch.page.size,10,250
id-repository-default.properties,id-repository-default.properties,mosip.credential.service.database.port,5432,${mosip.database.port.override:5432}
id-repository-default.properties,id-repository-default.properties,mosip.identity.fieldid.handle-postfix.mapping,{'phone':'@phone'},{:}
id-repository-default.properties,id-repository-default.properties,mosip.mask.function.identityAttributes,convertToMaskDataFormat,convertToMaskData
id-repository-default.properties,id-repository-default.properties,mosip.credential.request.job.timedelay,3000,1000
id-repository-default.properties,id-repository-default.properties,mosip.idrepo.db.port,5432,${mosip.database.port.override:5432}
id-repository-default.properties,id-repository-default.properties,mosip.credential.service.database.hostname,postgres-postgresql.postgres,${mosip.database.hostname.override:postgres-postgresql.postgres}
id-repository-default.properties,id-repository-default.properties,credentialType.formatter.EUIN,QrCodeProvider,VerCredProvider
id-repository-default.properties,id-repository-default.properties,mosip.idrepo.credential.request.enable-convention-based-id,false,${mosip.idrepo.credential.request.enable.convention.based.id.idrepo.override:false}
kernel-default.properties,kernel-default.properties,mosip.role.keymanager.postgeneratesymmetrickey,"ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,TEST,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT","ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT"
kernel-default.properties,kernel-default.properties,mosip.role.keymanager.postzkdecrypt,"ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,TEST,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT","ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT"
kernel-default.properties,kernel-default.properties,mosip.role.keymanager.postlicensegenerate,"ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,TEST,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT","ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT"
kernel-default.properties,kernel-default.properties,mosip.role.admin.masterdata.patchmachines,"GLOBAL_ADMIN,ZONAL_ADMIN,MASTERDATA_ADMIN","GLOBAL_ADMIN,ZONAL_ADMIN,MASTERDATA_ADMIN,RESIDENT"
kernel-default.properties,kernel-default.properties,mosip.kernel.database.hostname,postgres-postgresql.postgres,${mosip.database.hostname.override:postgres-postgresql.postgres}
kernel-default.properties,kernel-default.properties,mosip.role.keymanager.putrevokekey,"ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,TEST,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT","ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT"
kernel-default.properties,kernel-default.properties,mosip.role.keymanager.getgetcertificate,"ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,TEST,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT,KEY_MAKER","ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT,KEY_MAKER"
kernel-default.properties,kernel-default.properties,mosip.role.keymanager.postgeneratecsr,"ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,TEST,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT","KEY_MAKER,ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT"
kernel-default.properties,kernel-default.properties,mosip.role.keymanager.postzkreencryptrandomkey,"ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,TEST,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT","ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT"
kernel-default.properties,kernel-default.properties,hibernate.dialect,org.hibernate.dialect.PostgreSQL95Dialect,org.hibernate.dialect.PostgreSQLDialect
kernel-default.properties,kernel-default.properties,kernel.uin.transfer-scheduler-minutes,0,"0,20,40"
kernel-default.properties,kernel-default.properties,mosip.role.keymanager.postgeneratemasterkeyobjecttype,"ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,TEST,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT","KEY_MAKER,ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT"
kernel-default.properties,kernel-default.properties,mosip.role.keymanager.postcsverifysign,"ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,TEST,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT","ZONAL_ADMIN,GLOBAL_ADMIN,INDIVIDUAL,ID_AUTHENTICATION,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,REGISTRATION_PROCESSOR,PRE_REGISTRATION_ADMIN,RESIDENT"
