Latest Property File,Key,Latest Value
application-default.properties,server.max-http-request-header-size,${server.max-http-header-size}
application-default.properties,spring.mvc.pathmatch.matching-strategy,ANT_PATH_MATCHER
application-default.properties,mosip.kernel.idobjectvalidator.mandatory-attributes.reg-processor.crvs_new,"IDSchemaVersion,UIN,fullName,dateOfBirth|age,gender,addressLine1,region,province,city,zone"
application-default.properties,mosip.webui.auto.logout.idle,180
application-default.properties,provider.packetwriter.crvs1,"source:CRVS1,process:CRVS_NEW|CRVS_DEATH,classname:io.mosip.commons.packet.impl.PacketWriterImpl"
application-default.properties,mosip.config.server.file.storage.uri,${spring.cloud.config.uri}/${spring.application.name}/${spring.profiles.active}/${spring.cloud.config.label}/
application-default.properties,management.endpoint.env.show-values,ALWAYS
application-default.properties,mosip.kernel.idobjectvalidator.mandatory-attributes.reg-processor.crvs_death,"IDSchemaVersion,UIN"
application-default.properties,mosip.id.validation.identity.phone,^[+]*([0-9]{1})([0-9]{9})$
application-default.properties,mosip.vercred.context.url.map,"{""https://www.w3.org/ns/odrl.jsonld"" : ""odrl.jsonld"", ""https://www.w3.org/2018/credentials/v1"" : ""cred-v1.jsonld"", ""https://${mosip.api.public.host}/.well-known/mosip-context.json"" : ""mosip-context.json""}"
application-default.properties,packetmanager.base.url,http://packetmanager.packetmanager/commons
application-default.properties,mosip.webui.auto.logout.timeout,60
application-default.properties,provider.packetreader.crvs1,"source:CRVS1,process:CRVS_NEW|CRVS_DEATH,classname:io.mosip.commons.packet.impl.PacketReaderImpl"
application-default.properties,mosip.webui.auto.logout.ping,30
application-default.properties,spring.info.git.location,classpath:service-git.properties
application-default.properties,mosip.kernel.keymgr.hsm.health.check.enabled,false
credential-request-default.properties,hibernate.hbm2ddl.auto,none
credential-request-default.properties,spring.jpa.properties.hibernate.temp.use_jdbc_metadata_defaults,false
credential-request-default.properties,hibernate.jdbc.lob.non_contextual_creation,true
credential-request-default.properties,hibernate.temp.use_jdbc_metadata_defaults,false
credential-service-default.properties,mosip.mask.function.identityAttributes.email,maskEmail
credential-service-default.properties,mosip.format.function.name,formatName
credential-service-default.properties,mosip.credential.address.attribute.names,"fullAddress,address"
credential-service-default.properties,mosip.credential.photo.attribute.names,"photo,face"
credential-service-default.properties,mosip.mask.function.identityAttributes.phone,maskPhone
credential-service-default.properties,mosip.mask.function.date,convertToMaskDate
credential-service-default.properties,mosip.credential.name.attribute.names,"fullName,name"
credential-service-default.properties,mosip.format.function.address,formatAddress
credential-service-default.properties,mosip.mask.function.identityAttributes,convertToMaskData
credential-service-default.properties,mosip.format.function.dateTimeFormat,convertDateFormat
credential-service-default.properties,mosip.mask.function.identityAttributes.default,convertToMaskData
data-share-default.properties,mosip.iam.adapter.validate-expiry-check-rate,1440
data-share-default.properties,mosip.compliance.toolkit.saveDataShareToken.url,${mosip.api.internal.toolkit.url}/saveDataShareToken
data-share-default.properties,auth.handle.ctk.flow,true
data-share-default.properties,mosip.iam.adapter.clientid,mosip-datsha-client
data-share-default.properties,mosip.iam.adapter.appid,datsha
data-share-default.properties,mosip.kernel.http.selftoken.restTemplate.max-connection-per-route,20
data-share-default.properties,mosip.compliance.toolkit.invalidateDataShareToken.testCaseId,ABIS3031
data-share-default.properties,mosip.data.share.restTemplate.max-connection-per-route,50
data-share-default.properties,mosip.api.internal.toolkit.url,https://${mosip.api.internal.host}/v1/toolkit
data-share-default.properties,mosip.data.share.restTemplate.total-max-connections,200
data-share-default.properties,mosip.iam.adapter.self-token-renewal-enable,true
data-share-default.properties,mosip.iam.adapter.issuerURL,${keycloak.internal.url}/auth/realms/mosip
data-share-default.properties,object.store.max.connection,500
data-share-default.properties,mosip.data.share.policy-cache.expiry-time-millisec,7200000
data-share-default.properties,mosip.authmanager.client-token-endpoint,${mosip.kernel.authmanager.url}/v1/authmanager/authenticate/clientidsecretkey
data-share-default.properties,mosip.kernel.http.selftoken.restTemplate.total-max-connections,100
data-share-default.properties,mosip.iam.adapter.renewal-before-expiry-interval,1440
data-share-default.properties,mosip.compliance.toolkit.invalidateDataShareToken.url,${mosip.api.internal.toolkit.url}/invalidateDataShareToken
data-share-default.properties,mosip.iam.adapter.clientsecret,${mosip.datsha.client.secret}
data-share-default.properties,logging.level.org.springframework.web,INFO
esignet-default.properties,mosip.esignet.auth-challenge.PWD.min-length,8
esignet-default.properties,mosip.esignet.auth-challenge.BIO.format,encoded-json
esignet-default.properties,mosip.esignet.auth-challenge.OTP.max-length,6
esignet-default.properties,mosip.esignet.auth-challenge.KBA.min-length,50
esignet-default.properties,mosip.esignet.auth-challenge.PWD.format,alpha-numeric
esignet-default.properties,mosip.esignet.auth-challenge.KBA.format,base64url-encoded-json
esignet-default.properties,mosip.esignet.send-otp.attempts,3
esignet-default.properties,mosip.esignet.authenticator.default.auth-factor.kba.field-details,{}
esignet-default.properties,mosip.esignet.auth-challenge.PWD.max-length,30
esignet-default.properties,mosip.esignet.auth-challenge.WLA.max-length,1500
esignet-default.properties,mosip.esignet.auth-challenge.KBA.max-length,500
esignet-default.properties,mosip.esignet.auth-challenge.PIN.format,number
esignet-default.properties,mosip.esignet.auth-challenge.WLA.format,jwt
esignet-default.properties,mosip.esignet.authenticate.attempts,3
esignet-default.properties,mosip.esignet.auth-challenge.OTP.min-length,6
esignet-default.properties,mosip.esignet.authenticator.default.auth-factor.kba.individual-id-field,
esignet-default.properties,mosip.esignet.auth-challenge.WLA.min-length,100
esignet-default.properties,mosip.esignet.auth-challenge.PIN.min-length,4
esignet-default.properties,mosip.esignet.auth-challenge.OTP.format,alpha-numeric
esignet-default.properties,mosip.esignet.auth-challenge.PIN.max-length,4
esignet-default.properties,mosip.esignet.auth-challenge.BIO.min-length,5000
esignet-default.properties,mosip.esignet.captcha.required,"${mosip.esignet.captcha.required.esignet.override:send-otp,pwd}"
esignet-default.properties,mosip.esignet.auth-challenge.BIO.max-length,300000
id-authentication-default.properties,mosip.ida.authentication.error.eventing.enabled,true
id-authentication-default.properties,spring.mvc.trailing-slash-match,false
id-authentication-default.properties,mosip.ida.kafka.bootstrap.servers,"kafka-0.kafka-headless.${kafka.profile}:${kafka.port},kafka-1.kafka-headless.${kafka.profile}:${kafka.port},kafka-2.kafka-headless.${kafka.profile}:${kafka.port}"
id-authentication-default.properties,mosip.ida.sms.timeout,15
id-authentication-default.properties,management.endpoint.env.show-values,ALWAYS
id-authentication-default.properties,spring.kafka.admin.properties.allow.auto.create.topics,true
id-authentication-default.properties,webclient.connect-timeout-millis,3000
id-authentication-default.properties,mosip.ida.authentication.error.eventing.encrypt.partner.id,mpartner-default-tempextraction
id-authentication-default.properties,ida-topic-authentication-error-eventing,AUTHENTICATION_ERRORS
id-authentication-default.properties,ida-topic-remove-id-status,REMOVE_ID_STATUS
id-authentication-default.properties,webclient.buffer.max-in-memory-size,10485760
