Old Property File,Key,Old Value
application-default.properties,logging.level.root,INFO
esignet-default.properties,mosip.esignet.send-otp.captcha-required,true
id-authentication-default.properties,mosip.kernel.keymanager.keystore.keyreference.enable.cache,false
id-authentication-default.properties,ida-topic-on-demand-template-extraction,AUTHENTICATION_ERRORS
id-authentication-default.properties,mosip.ida.ondemand.template.extraction.partner.id,mpartner-default-tempextraction
id-repository-default.properties,spring.jpa.hibernate.ddl-auto,none
kernel-default.properties,softhsm.kernel.security.pin,${softhsm.security.pin}
partner-management-default.properties,mosip.pms.partneradmin.role,PARTNER_ADMIN
resident-default.properties,resident.template.purpose.failure.gen-or-revoke-vid,gen-or-revoke-vid-negative-purpose
resident-default.properties,resident.template.email.subject.failure.update-demo-data,update-demo-data-failure-email-subject
resident-default.properties,resident.template.bell-icon.success.order-a-physical-card,order-a-physical-card-success_BELL
resident-default.properties,mosip.date.of.birth.template.property,mosip.date.of.birth.template.property
resident-default.properties,resident.template.email.content.request-received.order-a-physical-card,order-a-physical-card-request-received-email-content
resident-default.properties,mosip.email.template.property,mosip.email.template.property
resident-default.properties,resident.template.bell-icon.failure.get-my-uin-card,get-my-uin-card-failure_BELL
resident-default.properties,resident.template.bell-icon.failure.update-demo-data,update-demo-data-failure_BELL
resident-default.properties,resident.template.sms.request-received.update-demo-data,update-demo-data-request-received_SMS
resident-default.properties,resident.template.email.subject.success.validate-otp,validate-otp-mail-subject
resident-default.properties,resident.template.purpose.success.order-a-physical-card,order-a-physical-card-positive purpose
resident-default.properties,resident.template.email.content.success.verify-my-phone-email,verify-my-phone-email-success-email-content
resident-default.properties,resident.template.sms.success.update-demo-data,update-demo-data-success_SMS
resident-default.properties,mosip.resident.message.code.maximum.length,1024
resident-default.properties,mosip.idp.unknown.authentication.template.property,mosip.idp.unknown.authentication.template.property
resident-default.properties,resident.template.email.subject.success.gen-or-revoke-vid,gen-or-revoke-vid-success-email-subject
resident-default.properties,resident.template.email.subject.success.share-cred-with-partner,share-cred-with-partner-success-email-subject
