Pre-LTS Property File,LTS Property File
packet-manager-mz.properties,packet-manager-default.properties
credential-request-mz.properties,credential-request-default.properties
id-repository-mz.properties,id-repository-default.properties
registration-mz.properties,registration-default.properties
  -,id-authentication-external-default.properties
syncdata-mz.properties,syncdata-default.properties
resident-mz.properties,resident-default.properties
pre-registration-mz.properties,pre-registration-default.properties
id-authentication-mz.properties,id-authentication-default.properties
application-mz.properties,application-default.properties
opencrvs-mz.properties,opencrvs-default.properties
print-mz.properties,print-default.properties
hotlist-mz.properties,hotlist-default.properties
mock-abis-mz.properties,mock-abis-default.properties
admin-mz.properties,admin-default.properties
  -,id-authentication-internal-default.properties
kernel-mz.properties,kernel-default.properties
credential-service-mz.properties,credential-service-default.properties
data-share-mz.properties,data-share-default.properties
  -,id-authentication-otp-default.properties
mimoto-mz.properties,mimoto-default.properties
partner-management-mz.properties,partner-management-default.properties
registration-processor-mz.properties,registration-processor-default.properties
 -,resident-app-default.properties
